,Word,Lemma,POS,Case,Number,Person,Tense,Mood,Voice,Form-Lemma Difference,Subtokens,Subtoken IDs,Subtoken Start Index,Subtoken End Index,Target Class,BERT Subtokenized Sentence,Sentence
3618,makes,make,VERB,,Sing,3,Pres,,,1,['makes'],[3084],14,14,Third-Person Present Tense Verb,"the urge to protect and gather them all in is almost overwhelming , and makes me more grateful for the blessings i have .","The urge to protect and gather them all in is almost overwhelming , and makes me more grateful for the blessings I have ."
3762,for,for,ADP,,,,,,,0,['for'],[2005],9,9,Causal-Final Case,"they would thereby gain control of a major base for terrorist operations , which is also a nuclear power .","They would thereby gain control of a major base for terrorist operations , which is also a nuclear power ."
3842,for,for,ADP,,,,,,,0,['for'],[2005],19,19,Causal-Final Case,"on the one hand , it should pressure mu ##sha ##rra ##f to take off his uniform and run for president in a fair election , and to repeal the contentious "" legal framework order "" that essentially per ##pet ##uate ##s his dictatorship .","On the one hand , it should pressure Musharraf to take off his uniform and run for president in a fair election , and to repeal the contentious "" Legal Framework Order "" that essentially perpetuates his dictatorship ."
4076,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",13,14,Genitive Case,al - za ##wa ##hir ##i attempted to use mu ##sha ##rra ##f ' s lack of progress in helping the muslims of that indian state as a justification for his overthrow .,Al - Zawahiri attempted to use Musharraf 's lack of progress in helping the Muslims of that Indian state as a justification for his overthrow .
4232,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,"sharon ' s hard line has worked in tandem with hamas ' s terrorism to rat ##chet up tensions further and further , which spill over into the muslim world and serve as a recruiting tool for al - qaeda in its search for agents willing to hit the united states .","Sharon 's hard line has worked in tandem with Hamas 's terrorism to ratchet up tensions further and further , which spill over into the Muslim world and serve as a recruiting tool for al - Qaeda in its search for agents willing to hit the United States ."
4624,for,for,ADP,,,,,,,0,['for'],[2005],7,7,Causal-Final Case,"response : iraq is actually hostile territory for al - qaeda , and without iraqi sy ##mp ##athi ##zers it can not succeed there .","Response : Iraq is actually hostile territory for al - Qaeda , and without Iraqi sympathizers it can not succeed there ."
4690,for,for,ADP,,,,,,,0,['for'],[2005],13,13,Causal-Final Case,the americans have to put away their free - market fe ##tish ##ism for a while and find ways of creating jobs and pumping money into iraqi households .,The Americans have to put away their free - market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households .
4852,for,for,ADP,,,,,,,0,['for'],[2005],17,17,Causal-Final Case,getting the spanish out of iraq is n ' t nearly as good a rally ##ing cry for al - qaeda in the arab world as getting the americans and british out .,Getting the Spanish out of Iraq is n't nearly as good a rallying cry for al - Qaeda in the Arab world as getting the Americans and British out .
4972,for,for,ADP,,,,,,,0,['for'],[2005],11,11,Causal-Final Case,"texas gov . george w . bush is enduring sharp criticism for being unable to name the leaders of four current world hot spots , but president bill clinton says bush "" should , and probably will , pick up "" those names .","Texas Gov. George W. Bush is enduring sharp criticism for being unable to name the leaders of four current world hot spots , but President Bill Clinton says Bush "" should , and probably will , pick up "" those names ."
5224,for,for,ADP,,,,,,,0,['for'],[2005],4,4,Causal-Final Case,"the front - runner for the 2000 republican presidential nomination faltered thursday in an international affairs pop quiz posed by andy hill ##er , a political reporter for w ##hd ##h - tv in boston .","The front - runner for the 2000 Republican presidential nomination faltered Thursday in an international affairs pop quiz posed by Andy Hiller , a political reporter for WHDH - TV in Boston ."
5323,appears,appear,VERB,,Sing,3,Pres,,,1,['appears'],[3544],1,1,Third-Person Present Tense Verb,"it appears this guy is going to bring stability to the country and i think that ' s good news for the subcontinent . ""","It appears this guy is going to bring stability to the country and I think that 's good news for the subcontinent . """
5467,for,for,ADP,,,,,,,0,['for'],[2005],9,9,Causal-Final Case,gore released a statement friday taking bush to task for his comments on pakistan ' s recent coup .,Gore released a statement Friday taking Bush to task for his comments on Pakistan 's recent coup .
5557,for,for,ADP,,,,,,,0,['for'],[2005],10,10,Causal-Final Case,""" i find it tr ##ou ##bling that a candidate for president in our country - - the world ' s oldest democracy - - would character ##ize the military takeover as "" good news , "" gore said .",""" I find it troubling that a candidate for president in our country -- the world 's oldest democracy -- would characterize the military takeover as "" good news , "" Gore said ."
5693,for,for,ADP,,,,,,,0,['for'],[2005],2,2,Causal-Final Case,a spokesman for president clinton also criticized bush ' s comments .,A spokesman for President Clinton also criticized Bush 's comments .
5704,for,for,SCONJ,,,,,,,0,['for'],[2005],5,5,Causal-Final Case,""" it is very dangerous for this country to condo ##ne the overthrow of democratic ##ally elected governments , "" said david lea ##vy , spokesman for the national security council .",""" It is very dangerous for this country to condone the overthrow of democratically elected governments , "" said David Leavy , spokesman for the National Security Council ."
5820,groups,group,NOUN,,Plur,,,,,1,['groups'],[2967],8,8,Plural Noun,"the us chose to ally itself with such groups as the supreme council for the islamic revolution in iraq , whose 15 , 000 - strong bad ##r corps paramilitary was trained by the iranian revolutionary guards .","The US chose to ally itself with such groups as the Supreme Council for the Islamic Revolution in Iraq , whose 15,000 - strong Badr Corps paramilitary was trained by the Iranian Revolutionary Guards ."
5960,for,for,ADP,,,,,,,0,['for'],[2005],1,1,Causal-Final Case,"worse for israel , the assassination drew a den ##unciation even from the moderate and cautious grand a ##yat ##oll ##ah ali sis ##tani , who wi ##eld ##s enormous moral authority over iraqi shi ##ites .","Worse for Israel , the assassination drew a denunciation even from the moderate and cautious Grand Ayatollah Ali Sistani , who wields enormous moral authority over Iraqi Shiites ."
6076,militias,militia,NOUN,,Plur,,,,,1,['militias'],[29271],9,9,Plural Noun,an iraq in which armed fundamental ##ist and nationalist militias pro ##life ##rate is inevitably a security worry for israel .,An Iraq in which armed fundamentalist and nationalist militias proliferate is inevitably a security worry for Israel .
6112,into,into,ADP,,,,,,,0,['into'],[2046],8,8,Translative Case,that private wealth can easily be funnel ##ed into aid for the palestinians and for lebanese shi ##ites .,That private wealth can easily be funneled into aid for the Palestinians and for Lebanese Shiites .
6163,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,"israel ' s security interests are best served by peace with its neighbors , which can only be achieved by trading land for peace with the palestinians .","Israel 's security interests are best served by peace with its neighbors , which can only be achieved by trading land for peace with the Palestinians ."
6379,Tamils,tamil,NOUN,,Plur,,,,,1,"['tamil', '##s']","[6008, 2015]",0,1,Plural Noun,tamil ##s feel that the proposed defense agreement between india and sri lanka would encourage sin ##hala rulers to prepare for another war abandoning the current peace process,Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process
6535,rebels,rebel,NOUN,,Plur,,,,,1,['rebels'],[8431],5,5,Plural Noun,"but last april , the rebels abruptly pulled out of negotiations demanding recognition , first , for the right to self - rule before proceeding any further .","But last April , the rebels abruptly pulled out of negotiations demanding recognition , first , for the right to self - rule before proceeding any further ."
6703,for,for,ADP,,,,,,,0,['for'],[2005],14,14,Causal-Final Case,"according to former indian army general a s ka ##lka ##t , the difficulty for kumar ##at ##ung ##a ' s government lay in the fact that the lt ##te had become a de ju ##re power in the north and east of the island and was running every aspect of civil administration in the areas within its control .","According to former Indian army general A S Kalkat , the difficulty for Kumaratunga 's government lay in the fact that the LTTE had become a de jure power in the north and east of the island and was running every aspect of civil administration in the areas within its control ."
7067,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",4,5,Genitive Case,a veteran of india ' s military intervention in the ja ##ff ##na peninsula to help implement the 1987 indo - sri lanka peace accord - which ambitious ##ly provided for the di ##sar ##ming of the formidable lt ##te - ka ##lka ##t said the new defense deal would essentially be a rei ##tera ##tion of the older one minus its military commitment .,A veteran of India 's military intervention in the Jaffna peninsula to help implement the 1987 Indo - Sri Lanka Peace Accord - which ambitiously provided for the disarming of the formidable LTTE - Kalkat said the new defense deal would essentially be a reiteration of the older one minus its military commitment .
7607,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,"japan ' s special envoy , ya ##sus ##hi aka ##shi , who called for tangible progress in the peace process before the money would be released , came back from visits to colombo and ki ##lino ##ch ##chi in early november a frustrated man .","Japan 's special envoy , Yasushi Akashi , who called for tangible progress in the peace process before the money would be released , came back from visits to Colombo and Kilinochchi in early November a frustrated man ."
7880,Tamils,tamil,NOUN,,Plur,,,,,1,"['tamil', '##s']","[6008, 2015]",1,2,Plural Noun,""" tamil ##s feel that the proposed defense agreement between india and sri lanka would encourage sin ##hala rulers to prepare for another war abandoning the current peace process , "" tna member of parliament p sit ##ham ##para ##nath ##an was quoted as saying in a statement .",""" Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process , "" TNA member of parliament P Sithamparanathan was quoted as saying in a statement ."
8310,visits,visit,NOUN,,Plur,,,,,1,['visits'],[7879],4,4,Plural Noun,"she added that recent visits to the island by india ' s top military brass including army chief general ni ##rma ##l chan ##der vi ##j have "" caused apprehension among tamil ##s that preparations are under way for another war in the island "" .","She added that recent visits to the island by India 's top military brass including army chief General Nirmal Chander Vij have "" caused apprehension among Tamils that preparations are under way for another war in the island "" ."
8630,circumstances,circumstance,NOUN,,Plur,,,,,1,['circumstances'],[6214],10,10,Plural Noun,"the best option , now , under the present difficult circumstances is for colombo to do its own dirty work , although new delhi can always be counted on to render good neighbor ##ly help because of the shared belief that religion , ethnicity and language can not be the basis for secession .","The best option , now , under the present difficult circumstances is for Colombo to do its own dirty work , although New Delhi can always be counted on to render good neighborly help because of the shared belief that religion , ethnicity and language can not be the basis for secession ."
9107,secretaries,secretary,NOUN,,Plur,,,,,2,['secretaries'],[23660],6,6,Plural Noun,"while most u . s . secretaries of state - - save perhaps dean rus ##k - - have go ##bbled up credit for outcomes that they had little to do with , few have been as bra ##zen as colin powell .","While most U.S. secretaries of state -- save perhaps Dean Rusk -- have gobbled up credit for outcomes that they had little to do with , few have been as brazen as Colin Powell ."
9352,for,for,ADP,,,,,,,0,['for'],[2005],12,12,Causal-Final Case,the reality is that india is no longer the enemy of choice for the people of pakistan .,The reality is that India is no longer the enemy of choice for the people of Pakistan .
9406,Realists,realist,NOUN,,Plur,,,,,1,"['real', '##ists']","[2613, 5130]",0,1,Plural Noun,"real ##ists , and this even includes members of the u . s . democratic foreign policy establishment such as st ##ro ##be talbot ##t , who have long sought to dive ##st india of its defensive capability against another nuclear power in asia , understand the only feasible solution for kashmir is the acceptance of the status quo .","Realists , and this even includes members of the U.S. Democratic foreign policy establishment such as Strobe Talbott , who have long sought to divest India of its defensive capability against another nuclear power in Asia , understand the only feasible solution for Kashmir is the acceptance of the status quo ."
9822,for,for,ADP,,,,,,,0,['for'],[2005],10,10,Causal-Final Case,"simultaneously , new delhi would ensure a degree of autonomy for the state that would help cut popular support off from jihad ##is attempting to convert kashmir into a second afghanistan .","Simultaneously , New Delhi would ensure a degree of autonomy for the state that would help cut popular support off from jihadis attempting to convert Kashmir into a second Afghanistan ."
10008,appears,appear,VERB,,Sing,3,Pres,,,1,['appears'],[3544],19,19,Third-Person Present Tense Verb,"bill clinton understood this at the end of his term in office yet , under colin powell ( who appears to have an affinity for generals active in politics ) , the pendulum of u . s . policy has once again swung toward a qui ##x ##otic effort to prize at least the valley of kashmir loose from india .","Bill Clinton understood this at the end of his term in office yet , under Colin Powell ( who appears to have an affinity for generals active in politics ) , the pendulum of U.S. policy has once again swung toward a quixotic effort to prize at least the Valley of Kashmir loose from India ."
10456,for,for,ADP,,,,,,,0,['for'],[2005],3,3,Causal-Final Case,"this writer has for years regarded the best solution to the kashmir problem as being the tri ##fur ##cation of the indian part of the state into a hindu - majority jammu , a buddhist - dominated lad ##akh and the overwhelmingly muslim kashmir valley , with the third state given little of taxpayers ' money but substantial autonomy .","This writer has for years regarded the best solution to the Kashmir problem as being the trifurcation of the Indian part of the state into a Hindu - majority Jammu , a Buddhist - dominated Ladakh and the overwhelmingly Muslim Kashmir Valley , with the third state given little of taxpayers ' money but substantial autonomy ."
10798,for,for,ADP,,,,,,,0,['for'],[2005],16,16,Causal-Final Case,"the overwhelming majority of muslims in kashmir would be happy with such an outcome , except for the tiny jihad ##i segment patron ##ized by the u . s . state department and the pakistan army , which would like to even the score with india for their catastrophic defeat in bangladesh in 1971 .","The overwhelming majority of Muslims in Kashmir would be happy with such an outcome , except for the tiny jihadi segment patronized by the U.S. State Department and the Pakistan Army , which would like to even the score with India for their catastrophic defeat in Bangladesh in 1971 ."
11148,for,for,ADP,,,,,,,0,['for'],[2005],1,1,Causal-Final Case,"unfortunately for them , the general has decided to take seriously colin powell ' s frequent boasts that it was on his nu ##d ##ging that the indians made con ##ci ##lia ##tory gestures toward islamabad .","Unfortunately for them , the general has decided to take seriously Colin Powell 's frequent boasts that it was on his nudging that the Indians made conciliatory gestures toward Islamabad ."
11396,conferees,conferee,NOUN,,Plur,,,,,1,"['con', '##fer', '##ees']","[9530, 7512, 10285]",28,30,Plural Noun,"that india is not yugoslavia and that the "" foreigner - led "" indian national congress can least afford to ignore indian nationalism , has not struck the con ##fer ##ees , among whom have been several indian "" scholars "" and "" analysts "" ready to say and end ##ors ##e anything for the sake of a free trip to new york or vienna .","That India is not Yugoslavia and that the "" foreigner - led "" Indian National Congress can least afford to ignore Indian nationalism , has not struck the conferees , among whom have been several Indian "" scholars "" and "" analysts "" ready to say and endorse anything for the sake of a free trip to New York or Vienna ."
11954,wrinkles,wrinkle,NOUN,,Plur,,,,,1,"['wr', '##inkles']","[23277, 28562]",2,3,Plural Noun,"despite many wr ##inkles , india remains a part - democracy and merely signing on to a piece of paper that calls for an independent kashmir does not get you into the trouble that writing an op - ed piece against sonia gandhi or ata ##l be ##hari va ##j ##pa ##ye ##e would instantly .","Despite many wrinkles , India remains a part - democracy and merely signing on to a piece of paper that calls for an independent Kashmir does not get you into the trouble that writing an op - ed piece against Sonia Gandhi or Atal Behari Vajpayee would instantly ."
12248,for,for,ADP,,,,,,,0,['for'],[2005],2,2,Causal-Final Case,"the reason for this is that india is emerging as an alternative investment destination to china , hence the favor that the generals in islamabad do to their trust ##y supplier of nu ##kes and missiles by creating a scare about war involving india when in fact the real flash ##points are the taiwan straits and north korea .","The reason for this is that India is emerging as an alternative investment destination to China , hence the favor that the generals in Islamabad do to their trusty supplier of nukes and missiles by creating a scare about war involving India when in fact the real flashpoints are the Taiwan Straits and North Korea ."
12752,for,for,ADP,,,,,,,0,['for'],[2005],1,1,Causal-Final Case,"unfortunately for those eager to indefinitely carry on with the lucrative business of conflict resolution in south asia , per ##vez mu ##sha ##rra ##f has now called colin powell ' s bluff , challenging him to deliver on his frequent statements implying that the indians jump to his commands .","Unfortunately for those eager to indefinitely carry on with the lucrative business of conflict resolution in South Asia , Pervez Musharraf has now called Colin Powell 's bluff , challenging him to deliver on his frequent statements implying that the Indians jump to his commands ."
13166,shows,show,VERB,,Sing,3,Pres,,,1,['shows'],[3065],7,7,Third-Person Present Tense Verb,"once the man ##mo ##han singh government shows that it has little appetite for suicide , mu ##sha ##rra ##f will face the moment of truth : accept the inevitable , or once again ramp up the insurgency and spawn a fresh lot of killers that can hit not merely mumbai and new delhi but london and chicago as well .","Once the Manmohan Singh government shows that it has little appetite for suicide , Musharraf will face the moment of truth : accept the inevitable , or once again ramp up the insurgency and spawn a fresh lot of killers that can hit not merely Mumbai and New Delhi but London and Chicago as well ."
13558,for,for,ADP,,,,,,,0,['for'],[2005],3,3,Causal-Final Case,( click here for source . ),( Click here for source . )
13565,for,for,ADP,,,,,,,0,['for'],[2005],3,3,Causal-Final Case,"before you fall for dem ##s ’ spin , here are the facts","Before you fall for Dems ’ spin , here are the facts"
13589,for,for,ADP,,,,,,,0,['for'],[2005],8,8,Causal-Final Case,that he did n ’ t show up for duty in alabama ?,That he did n’t show up for duty in Alabama ?
13611,for,for,ADP,,,,,,,0,['for'],[2005],2,2,Causal-Final Case,"so just for the record , here , in full , is what bush did :","So just for the record , here , in full , is what Bush did :"
13643,words,word,NOUN,,Plur,,,,,1,['words'],[2616],3,3,Plural Noun,"[ in other words , bush earned enough points to satisfy the requirements for his entire six year hitch in 1969 - 1970 alone .","[ In other words , Bush earned enough points to satisfy the requirements for his entire six year hitch in 1969 - 1970 alone ."
13718,for,for,ADP,,,,,,,0,['for'],[2005],2,2,Causal-Final Case,bush asked for permission to go to alabama to work on a senate campaign .,Bush asked for permission to go to Alabama to work on a Senate campaign .
13793,points,point,NOUN,,Plur,,,,,1,['points'],[2685],10,10,Plural Noun,"in june and july of 1973 , he accumulated 56 points , enough to meet the minimum requirement for the 1973 - 1974 year .","In June and July of 1973 , he accumulated 56 points , enough to meet the minimum requirement for the 1973 - 1974 year ."
13868,stands,stand,VERB,,Sing,3,Pres,,,1,['stands'],[4832],7,7,Third-Person Present Tense Verb,a 1970 evaluation said bush “ clearly stands out as a top notch fighter interceptor pilot ” and was “ a natural leader whom his contemporaries look to for leadership . ”,A 1970 evaluation said Bush “ clearly stands out as a top notch fighter interceptor pilot ” and was “ a natural leader whom his contemporaries look to for leadership . ”
14028,attacks,attack,NOUN,,Plur,,,,,1,['attacks'],[4491],5,5,Plural Noun,democrats are spitting mad over attacks on john kerry ’ s record by the group swift boat veterans for truth .,Democrats are spitting mad over attacks on John Kerry ’s record by the group Swift Boat Veterans for Truth .
14088,blames,blame,VERB,,Sing,3,Pres,,,1,"['blame', '##s']","[7499, 2015]",3,4,Third-Person Present Tense Verb,"the kerry camp blame ##s bush for the swift boat veterans ’ attack , but anyone who has spent much time talking to the swift ##ies gets the sense that they are doing it entirely for their own reasons .","The Kerry camp blames Bush for the Swift boat veterans ’ attack , but anyone who has spent much time talking to the Swifties gets the sense that they are doing it entirely for their own reasons ."
14430,veterans,veteran,NOUN,,Plur,,,,,1,['veterans'],[8244],7,7,Plural Noun,"in april — before the swift boat veterans had said a word — kerry said bush “ has yet to explain to america whether or not , and tell the truth , about whether he showed up for duty . ”","In April — before the Swift boat veterans had said a word — Kerry said Bush “ has yet to explain to America whether or not , and tell the truth , about whether he showed up for duty . ”"
14717,for,for,ADP,,,,,,,0,['for'],[2005],7,7,Causal-Final Case,byron york is a white house correspondent for national review .,Byron York is a White House correspondent for National Review .
14728,gifts,gift,NOUN,,Plur,,,,,1,['gifts'],[9604],8,8,Plural Noun,"one minister reportedly handed out 100 dollar ' gifts ' to journalists attending a press conference for alla ##wi , a practice that brings back bad memories to many iraqi ##s .","One minister reportedly handed out 100 dollar ' gifts ' to journalists attending a press conference for Allawi , a practice that brings back bad memories to many Iraqis ."
14848,for,for,ADP,,,,,,,0,['for'],[2005],11,11,Causal-Final Case,"sheikh na ##ji al - ab ##bu ##di , a spokesman for sis ##tani , affirmed the claims that the grand a ##yat ##oll ##ah is backing the united iraqi coalition list .","Sheikh Naji Al - Abbudi , a spokesman for Sistani , affirmed the claims that the Grand Ayatollah is backing the United Iraqi Coalition list ."
14952,for,for,ADP,,,,,,,0,['for'],[2005],22,22,Causal-Final Case,"cha ##lab ##i describing sha ' lan as a "" ba ' at ##his ##t "" and a "" former double agent for saddam and the cia "" , while sha ' lan dismiss ##es cha ##lab ##i as a "" thief "" and an "" iranian st ##oo ##ge who long ##s for his own origins by defending iran "" .","Chalabi describing Sha'lan as a "" Ba'athist "" and a "" former double agent for Saddam and the CIA "" , while Sha'lan dismisses Chalabi as a "" thief "" and an "" Iranian stooge who longs for his own origins by defending Iran "" ."
15182,for,for,ADP,,,,,,,0,['for'],[2005],15,15,Causal-Final Case,"many iraqi ##s , including conservative and religious iraqi ##s , are surprisingly root ##ing for the iraqi communist party , probably in an attempt to counter the influence of islamist ##s in the forthcoming national assembly .","Many Iraqis , including conservative and religious Iraqis , are surprisingly rooting for the Iraqi Communist party , probably in an attempt to counter the influence of Islamists in the forthcoming National Assembly ."
15352,for,for,ADP,,,,,,,0,['for'],[2005],4,4,Causal-Final Case,"i would suggest going for tribal sheikh ##s rather than cleric ##s , since they have the upper hand in their areas and can effectively root out any ba ' at ##his ##ts in their midst in return for a promise of sharing power and authority .","I would suggest going for tribal Sheikhs rather than clerics , since they have the upper hand in their areas and can effectively root out any Ba'athists in their midst in return for a promise of sharing power and authority ."
15639,for,for,ADP,,,,,,,0,['for'],[2005],5,5,Causal-Final Case,both have shared this country for the last 14 centuries and there is no possible way that one can live without the other .,Both have shared this country for the last 14 centuries and there is no possible way that one can live without the other .
15759,for,for,ADP,,,,,,,0,['for'],[2005],7,7,Causal-Final Case,i thought the us government was looking for me .,I thought the US government was looking for me .
15789,for,for,ADP,,,,,,,0,['for'],[2005],16,16,Causal-Final Case,"they happened in the philippines which , like pakistan , is an important and vulnerable node for the business which intelligence agencies and terrorist organizations conduct with each other .","They happened in the Philippines which , like Pakistan , is an important and vulnerable node for the business which intelligence agencies and terrorist organizations conduct with each other ."
15879,for,for,ADP,,,,,,,0,['for'],[2005],8,8,Causal-Final Case,"terre ##ll , a cia asset originally recruited for the contra effort , identifies the man attempting to recruit him into the philippine scheme as oliver north . . .","Terrell , a CIA asset originally recruited for the Contra effort , identifies the man attempting to recruit him into the Philippine scheme as Oliver North ..."
15987,for,for,ADP,,,,,,,0,['for'],[2005],8,8,Causal-Final Case,wilson was claiming that he had been working for the cia when he sold the c - 4 to quad ##da ##ffi .,Wilson was claiming that he had been working for the CIA when he sold the C - 4 to Quaddaffi .
16092,records,record,NOUN,,Plur,,,,,1,['records'],[2636],29,29,Plural Noun,"third ranking cia officer , briggs signed a declaration on february 3rd , 1983 , that on november 8th , 1982 , he had authorized a search of cia records "" for any material that in any way per ##tain ##s to edwin p . wilson , or the various allegations concerning his activities after february 28th , 1971 , when he retired from the cia . ""","Third ranking CIA officer , Briggs signed a declaration on February 3rd , 1983 , that on November 8th , 1982 , he had authorized a search of CIA records "" for any material that in any way pertains to Edwin P. Wilson , or the various allegations concerning his activities after February 28th , 1971 , when he retired from the CIA . """
16742,states,state,VERB,,Sing,3,Pres,,,1,['states'],[2163],3,3,Third-Person Present Tense Verb,"the briggs declaration states that with one exception in 1972 , wilson did not work "" directly or indirectly "" for the cia since retiring .","The Briggs Declaration states that with one exception in 1972 , Wilson did not work "" directly or indirectly "" for the CIA since retiring ."
16846,children,child,NOUN,,Plur,,,,,3,['children'],[2336],21,21,Plural Noun,we have a similar case un ##rave ##lling up here in the northwest with a murder of a family and missing children taken for some purpose .,We have a similar case unravelling up here in the northwest with a murder of a family and missing children taken for some purpose .
16971,for,for,ADP,,,,,,,0,['for'],[2005],3,3,Causal-Final Case,i was searching for dog food info and found this post .,I was searching for dog food info and found this post .
