,Word,Lemma,POS,Case,Number,Person,Tense,Mood,Voice,Form-Lemma Difference,Subtokens,Subtoken IDs,Subtoken Start Index,Subtoken End Index,Target Class,BERT Subtokenized Sentence,Sentence
2281,'s,be,AUX,,Sing,3,Pres,Ind,,0,"[""'"", 's']","[1005, 1055]",22,23,Genitive Case,"bush , in answering the question about the leader of pakistan , also said : "" the new pakistani general , he ' s just been elected - - not elected , this guy took over office .","Bush , in answering the question about the leader of Pakistan , also said : "" The new Pakistani general , he 's just been elected -- not elected , this guy took over office ."
2569,appears,appear,VERB,,Sing,3,Pres,,,1,['appears'],[3544],1,1,Third-Person Present Tense Verb,"it appears this guy is going to bring stability to the country and i think that ' s good news for the subcontinent . ""","It appears this guy is going to bring stability to the country and I think that 's good news for the subcontinent . """
2713,for,for,ADP,,,,,,,0,['for'],[2005],9,9,Causal-Final Case,gore released a statement friday taking bush to task for his comments on pakistan ' s recent coup .,Gore released a statement Friday taking Bush to task for his comments on Pakistan 's recent coup .
2803,for,for,ADP,,,,,,,0,['for'],[2005],10,10,Causal-Final Case,""" i find it tr ##ou ##bling that a candidate for president in our country - - the world ' s oldest democracy - - would character ##ize the military takeover as "" good news , "" gore said .",""" I find it troubling that a candidate for president in our country -- the world 's oldest democracy -- would characterize the military takeover as "" good news , "" Gore said ."
2939,for,for,ADP,,,,,,,0,['for'],[2005],2,2,Causal-Final Case,a spokesman for president clinton also criticized bush ' s comments .,A spokesman for President Clinton also criticized Bush 's comments .
2950,seems,seem,VERB,,Sing,3,Pres,,,1,['seems'],[3849],17,17,Third-Person Present Tense Verb,"not only did bush not know who general per ##vez mu ##sha ##rra ##f was , he seems to have confused coup - making with "" taking office , "" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the pakistan military , then the world ' s strongest supporter of the taliban , would bring "" stability ! ""","Not only did Bush not know who General Pervez Musharraf was , he seems to have confused coup - making with "" taking office , "" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military , then the world 's strongest supporter of the Taliban , would bring "" stability ! """
3610,Musharraf,Musharraf,NOUN,,Plur,,,,,0,"['mu', '##sha', '##rra', '##f']","[14163, 7377, 11335, 2546]",0,3,Plural Noun,"mu ##sha ##rra ##f made his coup in part because of the military ' s anger over prime minister na ##wa ##z sharif ' s willingness to back down from confronting india over kashmir , so that he explicitly came to power as a warm ##ong ##er .","Musharraf made his coup in part because of the military 's anger over Prime Minister Nawaz Sharif 's willingness to back down from confronting India over Kashmir , so that he explicitly came to power as a warmonger ."
3766,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",12,13,Genitive Case,i ca n ' t tell you how ominous i found bush ' s performance in that interview .,I ca n't tell you how ominous I found Bush 's performance in that interview .
3830,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",19,20,Genitive Case,"i still remember him stu ##ttering about "" the general , "" unable to remember mu ##sha ##rra ##f ' s name .","I still remember him stuttering about "" the General , "" unable to remember Musharraf 's name ."
3902,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",6,7,Genitive Case,"so , one answer to bush ' s charge about edwards is that if it had any merit , bush should have declined to run himself .","So , one answer to Bush 's charge about Edwards is that if it had any merit , Bush should have declined to run himself ."
4084,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",15,16,Genitive Case,"any thorough assessment of the impact of the iraq war and its aftermath on israel ' s security environment must , therefore , closely examine its likely effect on the conduct of as ##ym ##metric ##al warfare .","Any thorough assessment of the impact of the Iraq war and its aftermath on Israel 's security environment must , therefore , closely examine its likely effect on the conduct of asymmetrical warfare ."
4288,notions,notion,NOUN,,Plur,,,,,1,['notions'],[21951],12,12,Plural Noun,"the more radical shi ##ites , who generally follow the theo ##cratic notions of iran ' s a ##yat ##oll ##ah ru ##hol ##lah k ##hom ##ein ##i , routinely chant and demonstrate against israel .","The more radical Shiites , who generally follow the theocratic notions of Iran 's Ayatollah Ruhollah Khomeini , routinely chant and demonstrate against Israel ."
4363,movements,movement,NOUN,,Plur,,,,,1,['movements'],[5750],3,3,Plural Noun,"these shi ##ite movements had been suppressed by saddam hussein ' s regime , but have now organized and armed themselves .","These Shiite movements had been suppressed by Saddam Hussein 's regime , but have now organized and armed themselves ."
4503,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",3,4,Genitive Case,"whereas saddam hussein ' s dictatorship ensured that such pop ##uli ##st currents were kept firmly under control , they are now free to organize .","Whereas Saddam Hussein 's dictatorship ensured that such populist currents were kept firmly under control , they are now free to organize ."
4664,citizens,citizen,NOUN,,Plur,,,,,1,['citizens'],[4480],17,17,Plural Noun,"if even a mod ##icum of normal ##ity and security can be returned to iraq , its citizens will be able to benefit from the country ' s petroleum reserves .","If even a modicum of normality and security can be returned to Iraq , its citizens will be able to benefit from the country 's petroleum reserves ."
4804,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,"israel ' s security interests are best served by peace with its neighbors , which can only be achieved by trading land for peace with the palestinians .","Israel 's security interests are best served by peace with its neighbors , which can only be achieved by trading land for peace with the Palestinians ."
5020,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",2,3,Genitive Case,ariel sharon ' s aggressive near annexation of almost half of the occupied west bank and his indefinite post ##pone ##ment of any palestinian state have created unprecedented rage and violence .,Ariel Sharon 's aggressive near annexation of almost half of the occupied West Bank and his indefinite postponement of any Palestinian state have created unprecedented rage and violence .
5165,lives,life,NOUN,,Plur,,,,,1,['lives'],[3268],7,7,Plural Noun,"apart from the 1 , 200 indian lives lost in 1987 , the indian peacekeeping force was immensely unpopular not only in tamil nadu and the ja ##ff ##na peninsula but also among the sin ##hale ##se majority who considered it a violation of their country ' s sovereignty .","Apart from the 1,200 Indian lives lost in 1987 , the Indian peacekeeping force was immensely unpopular not only in Tamil Nadu and the Jaffna peninsula but also among the Sinhalese majority who considered it a violation of their country 's sovereignty ."
5337,into,into,ADP,,,,,,,0,['into'],[2046],6,6,Translative Case,"while india is ready to enter into a "" defense cooperation agreement "" with sri lanka , it is wary of being drawn into any military involvement in the island nation ' s two decades - old civil war that has seen violent strife between ethnic tamil ##s and the sin ##hale ##se majority - leaving over 60 , 000 dead on both sides .","While India is ready to enter into a "" defense cooperation agreement "" with Sri Lanka , it is wary of being drawn into any military involvement in the island nation 's two decades - old civil war that has seen violent strife between ethnic Tamils and the Sinhalese majority - leaving over 60,000 dead on both sides ."
6163,explains,explain,VERB,,Sing,3,Pres,,,1,['explains'],[7607],2,2,Third-Person Present Tense Verb,and that explains the delay in the signing of a formal defense agreement that was at the heart of sri lankan president chan ##drik ##a kumar ##at ##ung ##a ' s four - day visit to india recently .,And that explains the delay in the signing of a formal defense agreement that was at the heart of Sri Lankan President Chandrika Kumaratunga 's four - day visit to India recently .
6328,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",11,12,Genitive Case,"for that reason , he said , kumar ##at ##ung ##a ' s government was keen to beef up military prepared ##ness with indian support .","For that reason , he said , Kumaratunga 's government was keen to beef up military preparedness with Indian support ."
6433,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",4,5,Genitive Case,kumar ##at ##ung ##a ' s india tour preceded a three - day visit to sri lanka by norwegian foreign minister jan petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that oslo successfully broker ##ed in february 2002 .,Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .
6906,for,for,ADP,,,,,,,0,['for'],[2005],14,14,Causal-Final Case,"according to former indian army general a s ka ##lka ##t , the difficulty for kumar ##at ##ung ##a ' s government lay in the fact that the lt ##te had become a de ju ##re power in the north and east of the island and was running every aspect of civil administration in the areas within its control .","According to former Indian army general A S Kalkat , the difficulty for Kumaratunga 's government lay in the fact that the LTTE had become a de jure power in the north and east of the island and was running every aspect of civil administration in the areas within its control ."
7270,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",4,5,Genitive Case,a veteran of india ' s military intervention in the ja ##ff ##na peninsula to help implement the 1987 indo - sri lanka peace accord - which ambitious ##ly provided for the di ##sar ##ming of the formidable lt ##te - ka ##lka ##t said the new defense deal would essentially be a rei ##tera ##tion of the older one minus its military commitment .,A veteran of India 's military intervention in the Jaffna peninsula to help implement the 1987 Indo - Sri Lanka Peace Accord - which ambitiously provided for the disarming of the formidable LTTE - Kalkat said the new defense deal would essentially be a reiteration of the older one minus its military commitment .
7810,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,"japan ' s special envoy , ya ##sus ##hi aka ##shi , who called for tangible progress in the peace process before the money would be released , came back from visits to colombo and ki ##lino ##ch ##chi in early november a frustrated man .","Japan 's special envoy , Yasushi Akashi , who called for tangible progress in the peace process before the money would be released , came back from visits to Colombo and Kilinochchi in early November a frustrated man ."
8083,visits,visit,NOUN,,Plur,,,,,1,['visits'],[7879],4,4,Plural Noun,"she added that recent visits to the island by india ' s top military brass including army chief general ni ##rma ##l chan ##der vi ##j have "" caused apprehension among tamil ##s that preparations are under way for another war in the island "" .","She added that recent visits to the island by India 's top military brass including army chief General Nirmal Chander Vij have "" caused apprehension among Tamils that preparations are under way for another war in the island "" ."
8443,sentiments,sentiment,NOUN,,Plur,,,,,1,['sentiments'],[23541],34,34,Plural Noun,"but ka ##lka ##t pointed out that india would be ill - advised to be involved again , mil ##ita ##rily , with sri lanka if only because it still had to consider the sentiments of 45 million ethnic tamil ##s in the indian state of tamil nadu - separated from sri lanka ' s ja ##ff ##na peninsula by the narrow pal ##k straits .","But Kalkat pointed out that India would be ill - advised to be involved again , militarily , with Sri Lanka if only because it still had to consider the sentiments of 45 million ethnic Tamils in the Indian state of Tamil Nadu - separated from Sri Lanka 's Jaffna peninsula by the narrow Palk Straits ."
9071,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",2,3,Genitive Case,"as pakistan ' s president had been telling the united states he was "" forced "" into taking a hawk ##ish line on india precisely by the likes of rahman , this was an embarrassment .","As Pakistan 's president had been telling the United States he was "" forced "" into taking a hawkish line on India precisely by the likes of Rahman , this was an embarrassment ."
9309,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",3,4,Genitive Case,"this , pakistan ' s lobby ##ist in washington christina roc ##ca has been told , is the "" minimum "" that the pakistan army will accept .","This , Pakistan 's lobbyist in Washington Christina Rocca has been told , is the "" minimum "" that the Pakistan army will accept ."
9434,for,for,ADP,,,,,,,0,['for'],[2005],1,1,Causal-Final Case,"unfortunately for them , the general has decided to take seriously colin powell ' s frequent boasts that it was on his nu ##d ##ging that the indians made con ##ci ##lia ##tory gestures toward islamabad .","Unfortunately for them , the general has decided to take seriously Colin Powell 's frequent boasts that it was on his nudging that the Indians made conciliatory gestures toward Islamabad ."
9682,for,for,ADP,,,,,,,0,['for'],[2005],1,1,Causal-Final Case,"unfortunately for those eager to indefinitely carry on with the lucrative business of conflict resolution in south asia , per ##vez mu ##sha ##rra ##f has now called colin powell ' s bluff , challenging him to deliver on his frequent statements implying that the indians jump to his commands .","Unfortunately for those eager to indefinitely carry on with the lucrative business of conflict resolution in South Asia , Pervez Musharraf has now called Colin Powell 's bluff , challenging him to deliver on his frequent statements implying that the Indians jump to his commands ."
10096,'s,us,PRON,,,,,,,0,"[""'"", 's']","[1005, 1055]",3,4,Genitive Case,"and , let ' s remember , flying super ##sonic fighter jets is dangerous !","And , let 's remember , flying supersonic fighter jets is dangerous !"
10161,reporters,reporter,NOUN,,Plur,,,,,1,['reporters'],[12060],1,1,Plural Noun,"some reporters ( you know , the ones with journalist ##ic ethics ) have actually uncovered the truth about george bush ' s service in the texas air national guard .","Some reporters ( you know , the ones with journalistic ethics ) have actually uncovered the truth about George Bush 's service in the Texas Air National Guard ."
10277,lists,list,NOUN,,Plur,,,,,1,['lists'],[7201],11,11,Plural Noun,"now that the picture is clear , the two main competing lists seem to be the united iraqi coalition list and alla ##wi ' s al - iraqi ##ya list .","Now that the picture is clear , the two main competing lists seem to be the United Iraqi Coalition list and Allawi 's Al - Iraqiya list ."
10389,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",4,5,Genitive Case,"indeed , sis ##tani ' s agents all over the country have been quite active in educating iraqi shia on the merits of elections , which has led to the assassination of at least two of them .","Indeed , Sistani 's agents all over the country have been quite active in educating Iraqi Shia on the merits of elections , which has led to the assassination of at least two of them ."
10677,is,be,VERB,,Sing,3,Pres,Ind,,0,['is'],[2003],2,2,Third-Person Present Tense Verb,"again there is no official written statement from sis ##tani ' s office confirming this all ##ega ##tion , which i think is intentional .","Again there is no official written statement from Sistani 's office confirming this allegation , which I think is intentional ."
10824,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",4,5,Genitive Case,he described alla ##wi ' s face as that of a f * ed horse and he dismissed the whole government as a band of thieves and traitor ##s .,He described Allawi 's face as that of a f*ed horse and he dismissed the whole government as a band of thieves and traitors .
10874,'s,be,AUX,,Sing,3,Pres,Ind,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,"here ' s a miami herald interview with the relaxed terrorist and former cia operative in a luxury condo , published yesterday .","Here 's a Miami Herald interview with the relaxed terrorist and former CIA operative in a luxury condo , published yesterday ."
10940,Authorities,authority,NOUN,,Plur,,,,,2,['authorities'],[4614],0,0,Plural Noun,authorities would likely have been happy answering questions about po ##sa ##da ' s whereabouts with an indefinite shrug .,Authorities would likely have been happy answering questions about Posada 's whereabouts with an indefinite shrug .
11025,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",2,3,Genitive Case,"mei ##ring ' s crimes are fresh , and wave the false flag which is the "" war on terror . ""","Meiring 's crimes are fresh , and wave the false flag which is the "" War on Terror . """
11125,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",3,4,Genitive Case,"po ##sa ##da ' s crimes , on the other hand , must seem like ancient history , especially to a people who do n ' t know their history .","Posada 's crimes , on the other hand , must seem like ancient history , especially to a people who do n't know their history ."
11203,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",4,5,Genitive Case,"but po ##sa ##da ' s nearly 80 years old , and the venezuelan people will ensure that ' s a vain hope .","But Posada 's nearly 80 years old , and the Venezuelan people will ensure that 's a vain hope ."
11303,includes,include,VERB,,Sing,3,Pres,,,1,['includes'],[2950],3,3,Third-Person Present Tense Verb,peter dale scott includes an account of how terre ##ll ' s whistle ##bl ##owing was stifled by them in his book cocaine politics .,Peter Dale Scott includes an account of how Terrell 's whistleblowing was stifled by them in his book Cocaine Politics .
11408,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",17,18,Genitive Case,"last week , federal district judge lynn hughes in hu ##ston , texas , threw out wilson ' s two - decades old conviction .","Last week , Federal District Judge Lynn Hughes in Huston , Texas , threw out Wilson 's two - decades old conviction ."
11454,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,"sheriff ' s deputies in louisiana made a third arrest wednesday in the ongoing investigation of a case involving allegations of sexual abuse of children and animals at a po ##nch ##ato ##ula , la . , church .","Sheriff 's deputies in Louisiana made a third arrest Wednesday in the ongoing investigation of a case involving allegations of sexual abuse of children and animals at a Ponchatoula , La. , church ."
11692,Tangipahoa,Tangipahoa,NOUN,,Plur,,,,,0,"['tang', '##ip', '##ah', '##oa']","[9745, 11514, 4430, 10441]",0,3,Plural Noun,"tang ##ip ##ah ##oa parish sheriff ' s deputy christopher blair lab ##at , 24 , was booked tuesday on one count of aggravated rape and one count of crime against nature .","Tangipahoa Parish sheriff 's deputy Christopher Blair Labat , 24 , was booked Tuesday on one count of aggravated rape and one count of crime against nature ."
11832,counts,count,NOUN,,Plur,,,,,1,['counts'],[9294],23,23,Plural Noun,"on monday , louis lam ##onic ##a , 45 , the former pastor of ho ##san ##na church , was booked with two counts of aggravated rape and one count of crime against nature after he walked in to the livingston parish sheriff ' s office and said he could imp ##lica ##te others in a situation at the church that reportedly occurred two years ago .","On Monday , Louis Lamonica , 45 , the former pastor of Hosanna Church , was booked with two counts of aggravated rape and one count of crime against nature after he walked in to the Livingston Parish Sheriff 's Office and said he could implicate others in a situation at the church that reportedly occurred two years ago ."
12372,'s,be,AUX,,Sing,3,Pres,Ind,,0,"[""'"", 's']","[1005, 1055]",2,3,Genitive Case,now that ' s a post i can relate to .,Now that 's a post I can relate to .
12402,'s,be,AUX,,Sing,3,Pres,Ind,,0,"[""'"", 's']","[1005, 1055]",2,3,Genitive Case,"hey that ' s a great blog , i also have a site about los angeles online dating","hey that 's a great blog , I also have a site about los angeles online dating"
12453,'s,be,AUX,,Sing,3,Pres,Ind,,0,"[""'"", 's']","[1005, 1055]",2,3,Genitive Case,and it ' s not hard to do . . . . if you know how .,And It 's Not Hard To Do .... IF You Know HOW .
12505,Correspondents,correspondent,NOUN,,Plur,,,,,1,"['correspondent', '##s']","[11370, 2015]",0,1,Plural Noun,"correspondent ##s who flock ##ed in to cover the tsunami found they also had another story - the miserable security situation surrounding the indian navy ' s far eastern naval command , now being established along with india ' s "" blue water navy "" .","Correspondents who flocked in to cover the tsunami found they also had another story - the miserable security situation surrounding the Indian navy 's Far Eastern Naval Command , now being established along with India 's "" blue water navy "" ."
12841,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",17,18,Genitive Case,""" port blair , have ##lock islands , dig ##lip ##ur , middle nico ##bar , campbell ' s bay , neil islands and rang ##ott are mostly overrun by foreigners , "" he said .",""" Port Blair , Havelock Islands , Diglipur , Middle Nicobar , Campbell 's Bay , Neil Islands and Rangott are mostly overrun by foreigners , "" he said ."
12931,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",2,3,Genitive Case,indian intelligence ' s lack ##lus ##ter performance in dealing with the lt ##te is startling .,Indian intelligence 's lackluster performance in dealing with the LTTE is startling .
12970,planes,plane,NOUN,,Plur,,,,,1,['planes'],[9738],22,22,Plural Noun,on its journey across the bay of bengal the freighter was tracked by the indian navy and or ##issa - based spy planes of india ' s aviation research center ; it was intercepted by indian naval vessels off sri lanka ' s east coast .,On its journey across the Bay of Bengal the freighter was tracked by the Indian navy and Orissa - based spy planes of India 's Aviation Research Center ; it was intercepted by Indian naval vessels off Sri Lanka 's east coast .
13228,persons,person,NOUN,,Plur,,,,,1,['persons'],[5381],1,1,Plural Noun,"four persons were arrested , reportedly belonging to the mani ##pur revolutionary people ' s front .","Four persons were arrested , reportedly belonging to the Manipur Revolutionary People 's Front ."
13273,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",6,7,Genitive Case,the boat was heading toward cox ' s ba ##zar in bangladesh .,The boat was heading toward Cox 's Bazar in Bangladesh .
13295,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",9,10,Genitive Case,"subsequently , ph ##uke ##t became the lt ##te ' s main backup base .","Subsequently , Phuket became the LTTE 's main backup base ."
13306,groups,group,NOUN,,Plur,,,,,1,['groups'],[2967],20,20,Plural Noun,"it is widely acknowledged that the pakistani is ##i has nur ##ture ##d a number of ex ##tre ##mist islamist groups , such as the ha ##rka ##t - ul - je ##had - al - islam ##i , in the port city of chi ##tta ##gong , and put a number of secession ##ist rebels from india ' s northeast in touch with this terrorist network .","It is widely acknowledged that the Pakistani ISI has nurtured a number of extremist Islamist groups , such as the Harkat - ul - Jehad - al - Islami , in the port city of Chittagong , and put a number of secessionist rebels from India 's northeast in touch with this terrorist network ."
13636,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",10,11,Genitive Case,"the route from kali ##kh ##ola in bhutan to cox ' s ba ##zar passes through northern bengal , assam and meg ##hala ##ya , and on into chi ##tta ##gong .","The route from Kalikhola in Bhutan to Cox 's Bazar passes through northern Bengal , Assam and Meghalaya , and on into Chittagong ."
13660,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,"india ' s and ##aman and nico ##bar islands comprise more than 500 islands lying 1 , 000 kilometers east of sri lanka in the bay of bengal .","India 's Andaman and Nicobar Islands comprise more than 500 islands lying 1,000 kilometers east of Sri Lanka in the Bay of Bengal ."
13708,writes,write,VERB,,Sing,3,Pres,,,1,['writes'],[7009],2,2,Third-Person Present Tense Verb,"he also writes for aa ##kr ##osh , india ' s defense - tied quarterly journal .","He also writes for Aakrosh , India 's defense - tied quarterly journal ."
13736,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",5,6,Genitive Case,"if some of john kerry ' s wounds were superficial , bush received no wounds .","If some of John Kerry 's wounds were superficial , Bush received no wounds ."
13781,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",4,5,Genitive Case,kerry saved a man ' s life while under fire .,Kerry saved a man 's life while under fire .
13801,speaks,speak,VERB,,Sing,3,Pres,,,1,['speaks'],[8847],17,17,Third-Person Present Tense Verb,"the history of alcoholism and possibly other drug use is a key issue because it not only speaks to bush ' s character as an addict ##ive personality , but may tell us something about his erratic and alarm ##ing actions as president .","The history of alcoholism and possibly other drug use is a key issue because it not only speaks to Bush 's character as an addictive personality , but may tell us something about his erratic and alarming actions as president ."
14047,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",9,10,Genitive Case,"this little - noted interview with b ##lou ##nt ' s nephew mu ##rp ##h archibald , which appeared on national public radio ' s "" all things considered on march 30 , 2004 , gives a devastating insight into what it was like to have to suffer through bush in that period .","This little - noted interview with Blount 's nephew Murph Archibald , which appeared on National Public Radio 's "" All Things Considered on March 30 , 2004 , gives a devastating insight into what it was like to have to suffer through Bush in that period ."
14383,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,npr ' s wade good ##wyn has this report about mr . bush ' s time on that campaign .,NPR 's Wade Goodwyn has this report about Mr. Bush 's time on that campaign .
14431,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",7,8,Genitive Case,"groom was republican red b ##lou ##nt ' s schedule ##r , and in that job , she was the hub in the campaign wheel .","Groom was Republican Red Blount 's scheduler , and in that job , she was the hub in the campaign wheel ."
14475,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",3,4,Genitive Case,b ##lou ##nt ' s support of the party led him to be appointed richard nixon ' s postmaster general .,Blount 's support of the party led him to be appointed Richard Nixon 's postmaster general .
14543,friends,friend,NOUN,,Plur,,,,,1,['friends'],[2814],7,7,Plural Noun,"in washington , b ##lou ##nt became friends and tennis partners with mr . bush ' s father , then congressman bush .","In Washington , Blount became friends and tennis partners with Mr. Bush 's father , then Congressman Bush ."
14562,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",17,18,Genitive Case,"that was how 26 - year - old lieutenant bush came to montgomery , at his father ' s urging . . .","That was how 26 - year - old Lieutenant Bush came to Montgomery , at his father 's urging . . ."
14628,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",5,6,Genitive Case,it was mr . bush ' s job to organize the republican county chairperson ##s in the 67 alabama counties .,It was Mr. Bush 's job to organize the Republican county chairpersons in the 67 Alabama counties .
