,Word,Lemma,POS,Case,Number,Person,Tense,Mood,Voice,Form-Lemma Difference,Subtokens,Subtoken IDs,Subtoken Start Index,Subtoken End Index,Target Class,BERT Subtokenized Sentence,Sentence
400,people,people,NOUN,,Plur,,,,,0,['people'],[2111],1,1,Plural Noun,"many people still believe that to be true , even though the ministry of russian federation on civil defence , emergencies and elimination of con ##se ##gue ##nce ##s of natural disasters ( em ##er ##com of russia ) reported this in 1996 :","Many people still believe that to be true , even though the Ministry of Russian Federation on Civil Defence , Emergencies and Elimination of Conseguences of Natural Disasters ( EMERCOM of Russia ) reported this in 1996 :"
438,regions,region,NOUN,,Plur,,,,,1,['regions'],[4655],31,31,Plural Noun,"in the last decade , there has been a real and significant increase in childhood and , to a certain extent , adult car ##cino ##ma of the thyroid in contaminated regions of the former soviet union ( wi ##9 ##40 ) which should be attributed to the cher ##nob ##yl accident until proven otherwise .","In the last decade , there has been a real and significant increase in childhood and , to a certain extent , adult carcinoma of the thyroid in contaminated regions of the former Soviet Union ( Wi940 ) which should be attributed to the Chernobyl accident until proven otherwise ."
488,folks,folk,NOUN,,Plur,,,,,1,['folks'],[12455],22,22,Plural Noun,do n ' t have to mention what radiation has done and is still doing to hi ##rso ##hima & naga ##ski folks - - there can be no doubts about the effects of radiation in cher ##nob ##yl . . . . . . .,Do n't have to mention what radiation has done and is still doing to Hirsohima & Nagaski folks -- there can be no doubts about the effects of radiation in Chernobyl .......
552,makes,make,VERB,,Sing,3,Pres,,,1,['makes'],[3084],14,14,Third-Person Present Tense Verb,"the urge to protect and gather them all in is almost overwhelming , and makes me more grateful for the blessings i have .","The urge to protect and gather them all in is almost overwhelming , and makes me more grateful for the blessings I have ."
576,figures,figure,NOUN,,Plur,,,,,1,['figures'],[4481],6,6,Plural Noun,"his military intelligence has captured major figures like abu zu ##bay ##da and khalid shay ##kh muhammad , as well as nearly 500 other al - qaeda operatives , over 400 of whom the pakistani ##s have turned over to the us .","His military intelligence has captured major figures like Abu Zubayda and Khalid Shaykh Muhammad , as well as nearly 500 other al - Qaeda operatives , over 400 of whom the Pakistanis have turned over to the US ."
615,officers,officer,NOUN,,Plur,,,,,1,['officers'],[3738],22,22,Plural Noun,"if al - qaeda can kill mu ##sha ##rra ##f or ins ##ti ##gate a military coup against him by islamist junior officers , they can hope to cat ##ap ##ult the mma to power as political allies and hosts .","If al - Qaeda can kill Musharraf or instigate a military coup against him by Islamist junior officers , they can hope to catapult the MMA to power as political allies and hosts ."
649,for,for,ADP,,,,,,,0,['for'],[2005],19,19,Causal-Final Case,"on the one hand , it should pressure mu ##sha ##rra ##f to take off his uniform and run for president in a fair election , and to repeal the contentious "" legal framework order "" that essentially per ##pet ##uate ##s his dictatorship .","On the one hand , it should pressure Musharraf to take off his uniform and run for president in a fair election , and to repeal the contentious "" Legal Framework Order "" that essentially perpetuates his dictatorship ."
688,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,"sharon ' s hard line has worked in tandem with hamas ' s terrorism to rat ##chet up tensions further and further , which spill over into the muslim world and serve as a recruiting tool for al - qaeda in its search for agents willing to hit the united states .","Sharon 's hard line has worked in tandem with Hamas 's terrorism to ratchet up tensions further and further , which spill over into the Muslim world and serve as a recruiting tool for al - Qaeda in its search for agents willing to hit the United States ."
737,lives,life,NOUN,,Plur,,,,,1,['lives'],[3268],10,10,Plural Noun,"by moving quickly to iraqi sovereignty and improvement of iraqi lives , the us may be able to get iraqi ##s on its side , so that they turn in the foreigners .","By moving quickly to Iraqi sovereignty and improvement of Iraqi lives , the US may be able to get Iraqis on its side , so that they turn in the foreigners ."
769,lacks,lack,VERB,,Sing,3,Pres,,,1,['lacks'],[14087],9,9,Third-Person Present Tense Verb,george w . bush alleged thursday that john edwards lacks the experience necessary to be president .,George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president .
785,hoists,hoist,VERB,,Sing,3,Pres,,,1,"['ho', '##ists']","[7570, 5130]",28,29,Third-Person Present Tense Verb,"the problem with this argument is that bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just ho ##ists him by his own pet ##ard .","The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard ."
820,for,for,ADP,,,,,,,0,['for'],[2005],11,11,Causal-Final Case,"texas gov . george w . bush is enduring sharp criticism for being unable to name the leaders of four current world hot spots , but president bill clinton says bush "" should , and probably will , pick up "" those names .","Texas Gov. George W. Bush is enduring sharp criticism for being unable to name the leaders of four current world hot spots , but President Bill Clinton says Bush "" should , and probably will , pick up "" those names ."
904,appears,appear,VERB,,Sing,3,Pres,,,1,['appears'],[3544],1,1,Third-Person Present Tense Verb,"it appears this guy is going to bring stability to the country and i think that ' s good news for the subcontinent . ""","It appears this guy is going to bring stability to the country and I think that 's good news for the subcontinent . """
928,Musharraf,Musharraf,NOUN,,Plur,,,,,0,"['mu', '##sha', '##rra', '##f']","[14163, 7377, 11335, 2546]",0,3,Plural Noun,"mu ##sha ##rra ##f made his coup in part because of the military ' s anger over prime minister na ##wa ##z sharif ' s willingness to back down from confronting india over kashmir , so that he explicitly came to power as a warm ##ong ##er .","Musharraf made his coup in part because of the military 's anger over Prime Minister Nawaz Sharif 's willingness to back down from confronting India over Kashmir , so that he explicitly came to power as a warmonger ."
967,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",19,20,Genitive Case,"i still remember him stu ##ttering about "" the general , "" unable to remember mu ##sha ##rra ##f ' s name .","I still remember him stuttering about "" the General , "" unable to remember Musharraf 's name ."
985,fighters,fighter,NOUN,,Plur,,,,,1,['fighters'],[7299],10,10,Plural Noun,"it is estimated to have some 5 , 000 armed fighters , and they have pursued attacks against israeli forces to com ##pel them to withdraw from the she ##ba ##a farms , a sl ##iver of syrian territory that israel annexed after the 1967 war .","It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war ."
1067,families,family,NOUN,,Plur,,,,,2,['families'],[2945],17,17,Plural Noun,"although it is often alleged ( without much evidence ) that saddam hussein gave money to the families of palestinian suicide bombers and so encouraged as ##ym ##metric ##al warfare , it is not clear that he actually posed a danger to israel .","Although it is often alleged ( without much evidence ) that Saddam Hussein gave money to the families of Palestinian suicide bombers and so encouraged asymmetrical warfare , it is not clear that he actually posed a danger to Israel ."
1108,points,point,NOUN,,Plur,,,,,1,['points'],[2685],2,2,Plural Noun,"at some points , as in the late 1980s , he reportedly made behind - the - scenes overture ##s to the israelis to arrive at some sort of a deal .","At some points , as in the late 1980s , he reportedly made behind - the - scenes overtures to the Israelis to arrive at some sort of a deal ."
1139,for,for,ADP,,,,,,,0,['for'],[2005],1,1,Causal-Final Case,"worse for israel , the assassination drew a den ##unciation even from the moderate and cautious grand a ##yat ##oll ##ah ali sis ##tani , who wi ##eld ##s enormous moral authority over iraqi shi ##ites .","Worse for Israel , the assassination drew a denunciation even from the moderate and cautious Grand Ayatollah Ali Sistani , who wields enormous moral authority over Iraqi Shiites ."
1168,citizens,citizen,NOUN,,Plur,,,,,1,['citizens'],[4480],17,17,Plural Noun,"if even a mod ##icum of normal ##ity and security can be returned to iraq , its citizens will be able to benefit from the country ' s petroleum reserves .","If even a modicum of normality and security can be returned to Iraq , its citizens will be able to benefit from the country 's petroleum reserves ."
1224,into,into,ADP,,,,,,,0,['into'],[2046],8,8,Translative Case,that private wealth can easily be funnel ##ed into aid for the palestinians and for lebanese shi ##ites .,That private wealth can easily be funneled into aid for the Palestinians and for Lebanese Shiites .
1241,Tamils,tamil,NOUN,,Plur,,,,,1,"['tamil', '##s']","[6008, 2015]",0,1,Plural Noun,tamil ##s feel that the proposed defense agreement between india and sri lanka would encourage sin ##hala rulers to prepare for another war abandoning the current peace process,Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process
1293,into,into,ADP,,,,,,,0,['into'],[2046],6,6,Translative Case,"while india is ready to enter into a "" defense cooperation agreement "" with sri lanka , it is wary of being drawn into any military involvement in the island nation ' s two decades - old civil war that has seen violent strife between ethnic tamil ##s and the sin ##hale ##se majority - leaving over 60 , 000 dead on both sides .","While India is ready to enter into a "" defense cooperation agreement "" with Sri Lanka , it is wary of being drawn into any military involvement in the island nation 's two decades - old civil war that has seen violent strife between ethnic Tamils and the Sinhalese majority - leaving over 60,000 dead on both sides ."
1352,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",11,12,Genitive Case,"for that reason , he said , kumar ##at ##ung ##a ' s government was keen to beef up military prepared ##ness with indian support .","For that reason , he said , Kumaratunga 's government was keen to beef up military preparedness with Indian support ."
1373,rebels,rebel,NOUN,,Plur,,,,,1,['rebels'],[8431],5,5,Plural Noun,"but last april , the rebels abruptly pulled out of negotiations demanding recognition , first , for the right to self - rule before proceeding any further .","But last April , the rebels abruptly pulled out of negotiations demanding recognition , first , for the right to self - rule before proceeding any further ."
1429,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",4,5,Genitive Case,kumar ##at ##ung ##a ' s india tour preceded a three - day visit to sri lanka by norwegian foreign minister jan petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that oslo successfully broker ##ed in february 2002 .,Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .
1472,seems,seem,VERB,,Sing,3,Pres,,,1,['seems'],[3849],4,4,Third-Person Present Tense Verb,"colombo , too , seems to be in an intra ##ctable position .","Colombo , too , seems to be in an intractable position ."
1484,differences,difference,NOUN,,Plur,,,,,1,['differences'],[5966],2,2,Plural Noun,"however , differences between india and lt ##te soon surfaced and led to clashes between tiger guerrillas and the indian peace keeping force .","However , differences between India and LTTE soon surfaced and led to clashes between Tiger guerrillas and the Indian peace keeping force ."
1507,Tamils,tamil,NOUN,,Plur,,,,,1,"['tamil', '##s']","[6008, 2015]",1,2,Plural Noun,""" tamil ##s feel that the proposed defense agreement between india and sri lanka would encourage sin ##hala rulers to prepare for another war abandoning the current peace process , "" tna member of parliament p sit ##ham ##para ##nath ##an was quoted as saying in a statement .",""" Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process , "" TNA member of parliament P Sithamparanathan was quoted as saying in a statement ."
1593,visits,visit,NOUN,,Plur,,,,,1,['visits'],[7879],4,4,Plural Noun,"she added that recent visits to the island by india ' s top military brass including army chief general ni ##rma ##l chan ##der vi ##j have "" caused apprehension among tamil ##s that preparations are under way for another war in the island "" .","She added that recent visits to the island by India 's top military brass including army chief General Nirmal Chander Vij have "" caused apprehension among Tamils that preparations are under way for another war in the island "" ."
1633,sentiments,sentiment,NOUN,,Plur,,,,,1,['sentiments'],[23541],34,34,Plural Noun,"but ka ##lka ##t pointed out that india would be ill - advised to be involved again , mil ##ita ##rily , with sri lanka if only because it still had to consider the sentiments of 45 million ethnic tamil ##s in the indian state of tamil nadu - separated from sri lanka ' s ja ##ff ##na peninsula by the narrow pal ##k straits .","But Kalkat pointed out that India would be ill - advised to be involved again , militarily , with Sri Lanka if only because it still had to consider the sentiments of 45 million ethnic Tamils in the Indian state of Tamil Nadu - separated from Sri Lanka 's Jaffna peninsula by the narrow Palk Straits ."
1747,circumstances,circumstance,NOUN,,Plur,,,,,1,['circumstances'],[6214],10,10,Plural Noun,"the best option , now , under the present difficult circumstances is for colombo to do its own dirty work , although new delhi can always be counted on to render good neighbor ##ly help because of the shared belief that religion , ethnicity and language can not be the basis for secession .","The best option , now , under the present difficult circumstances is for Colombo to do its own dirty work , although New Delhi can always be counted on to render good neighborly help because of the shared belief that religion , ethnicity and language can not be the basis for secession ."
1853,conferees,conferee,NOUN,,Plur,,,,,1,"['con', '##fer', '##ees']","[9530, 7512, 10285]",28,30,Plural Noun,"that india is not yugoslavia and that the "" foreigner - led "" indian national congress can least afford to ignore indian nationalism , has not struck the con ##fer ##ees , among whom have been several indian "" scholars "" and "" analysts "" ready to say and end ##ors ##e anything for the sake of a free trip to new york or vienna .","That India is not Yugoslavia and that the "" foreigner - led "" Indian National Congress can least afford to ignore Indian nationalism , has not struck the conferees , among whom have been several Indian "" scholars "" and "" analysts "" ready to say and endorse anything for the sake of a free trip to New York or Vienna ."
1915,for,for,ADP,,,,,,,0,['for'],[2005],2,2,Causal-Final Case,"the reason for this is that india is emerging as an alternative investment destination to china , hence the favor that the generals in islamabad do to their trust ##y supplier of nu ##kes and missiles by creating a scare about war involving india when in fact the real flash ##points are the taiwan straits and north korea .","The reason for this is that India is emerging as an alternative investment destination to China , hence the favor that the generals in Islamabad do to their trusty supplier of nukes and missiles by creating a scare about war involving India when in fact the real flashpoints are the Taiwan Straits and North Korea ."
1971,for,for,ADP,,,,,,,0,['for'],[2005],1,1,Causal-Final Case,"unfortunately for those eager to indefinitely carry on with the lucrative business of conflict resolution in south asia , per ##vez mu ##sha ##rra ##f has now called colin powell ' s bluff , challenging him to deliver on his frequent statements implying that the indians jump to his commands .","Unfortunately for those eager to indefinitely carry on with the lucrative business of conflict resolution in South Asia , Pervez Musharraf has now called Colin Powell 's bluff , challenging him to deliver on his frequent statements implying that the Indians jump to his commands ."
2017,for,for,ADP,,,,,,,0,['for'],[2005],3,3,Causal-Final Case,"before you fall for dem ##s ’ spin , here are the facts","Before you fall for Dems ’ spin , here are the facts"
2029,years,year,NOUN,,Plur,,,,,1,['years'],[2086],7,7,Plural Noun,news coverage of the president ’ s years in the guard has tended to focus on one brief portion of that time — to the exclusion of virtually everything else .,News coverage of the president ’s years in the Guard has tended to focus on one brief portion of that time — to the exclusion of virtually everything else .
2059,stands,stand,VERB,,Sing,3,Pres,,,1,['stands'],[4832],7,7,Third-Person Present Tense Verb,a 1970 evaluation said bush “ clearly stands out as a top notch fighter interceptor pilot ” and was “ a natural leader whom his contemporaries look to for leadership . ”,A 1970 evaluation said Bush “ clearly stands out as a top notch fighter interceptor pilot ” and was “ a natural leader whom his contemporaries look to for leadership . ”
2091,Voters,voter,NOUN,,Plur,,,,,1,['voters'],[7206],0,0,Plural Noun,voters are perfectly able to decide whether it ’ s important or not in november .,Voters are perfectly able to decide whether it ’s important or not in November .
2106,blames,blame,VERB,,Sing,3,Pres,,,1,"['blame', '##s']","[7499, 2015]",3,4,Third-Person Present Tense Verb,"the kerry camp blame ##s bush for the swift boat veterans ’ attack , but anyone who has spent much time talking to the swift ##ies gets the sense that they are doing it entirely for their own reasons .","The Kerry camp blames Bush for the Swift boat veterans ’ attack , but anyone who has spent much time talking to the Swifties gets the sense that they are doing it entirely for their own reasons ."
2182,veterans,veteran,NOUN,,Plur,,,,,1,['veterans'],[8244],7,7,Plural Noun,"in april — before the swift boat veterans had said a word — kerry said bush “ has yet to explain to america whether or not , and tell the truth , about whether he showed up for duty . ”","In April — before the Swift boat veterans had said a word — Kerry said Bush “ has yet to explain to America whether or not , and tell the truth , about whether he showed up for duty . ”"
2264,measures,measure,NOUN,,Plur,,,,,1,['measures'],[5761],6,6,Plural Noun,"the interim government has promised security measures that would reduce the violence on the day of elections , but i fail to see how they will be able to protect all 5 , 000 ( or so ) ballot ##ing centres .","The interim government has promised security measures that would reduce the violence on the day of elections , but I fail to see how they will be able to protect all 5,000 ( or so ) balloting centres ."
2342,lists,list,NOUN,,Plur,,,,,1,['lists'],[7201],11,11,Plural Noun,"now that the picture is clear , the two main competing lists seem to be the united iraqi coalition list and alla ##wi ' s al - iraqi ##ya list .","Now that the picture is clear , the two main competing lists seem to be the United Iraqi Coalition list and Allawi 's Al - Iraqiya list ."
2370,gifts,gift,NOUN,,Plur,,,,,1,['gifts'],[9604],8,8,Plural Noun,"one minister reportedly handed out 100 dollar ' gifts ' to journalists attending a press conference for alla ##wi , a practice that brings back bad memories to many iraqi ##s .","One minister reportedly handed out 100 dollar ' gifts ' to journalists attending a press conference for Allawi , a practice that brings back bad memories to many Iraqis ."
2430,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",4,5,Genitive Case,"indeed , sis ##tani ' s agents all over the country have been quite active in educating iraqi shia on the merits of elections , which has led to the assassination of at least two of them .","Indeed , Sistani 's agents all over the country have been quite active in educating Iraqi Shia on the merits of elections , which has led to the assassination of at least two of them ."
2466,candidates,candidate,NOUN,,Plur,,,,,1,['candidates'],[5347],1,1,Plural Noun,"several candidates were assassinated and targeted these last two weeks , others have been forced under threats to withdraw and to follow the example of the islamic party .","Several candidates were assassinated and targeted these last two weeks , others have been forced under threats to withdraw and to follow the example of the Islamic party ."
2495,views,view,VERB,,Sing,3,Pres,,,1,['views'],[5328],6,6,Third-Person Present Tense Verb,"leaving aside the fact that this views conflicts with other historical examples in the region , sunni ##s have never offered an alternative choice , which eventually leads one to guess that the opinion held by the fall ##uj ##an taxi driver above is precisely what they are planning to implement .","Leaving aside the fact that this views conflicts with other historical examples in the region , Sunnis have never offered an alternative choice , which eventually leads one to guess that the opinion held by the Fallujan taxi driver above is precisely what they are planning to implement ."
2544,concur,concur,VERB,,Sing,3,Pres,,,0,"['con', '##cu', '##r']","[9530, 10841, 2099]",1,3,Third-Person Present Tense Verb,"i con ##cu ##r that ba ' at ##his ##ts and former security forces are capable of immediately controlling at least 5 out of 18 governorate ##s , along with the capital , if americans are to be removed from the picture entirely .","I concur that Ba'athists and former security forces are capable of immediately controlling at least 5 out of 18 governorates , along with the capital , if Americans are to be removed from the picture entirely ."
2581,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",3,4,Genitive Case,"po ##sa ##da ' s crimes , on the other hand , must seem like ancient history , especially to a people who do n ' t know their history .","Posada 's crimes , on the other hand , must seem like ancient history , especially to a people who do n't know their history ."
2607,weapons,weapon,NOUN,,Plur,,,,,1,['weapons'],[4255],6,6,Plural Noun,"another connection to philippine terror and weapons smuggling - dating from the 1980s - is alleged in the book di ##sp ##osa ##ble patriot , by jack terre ##ll .","Another connection to Philippine terror and weapons smuggling - dating from the 1980s - is alleged in the book Disposable Patriot , by Jack Terrell ."
2633,for,for,ADP,,,,,,,0,['for'],[2005],8,8,Causal-Final Case,"terre ##ll , a cia asset originally recruited for the contra effort , identifies the man attempting to recruit him into the philippine scheme as oliver north . . .","Terrell , a CIA asset originally recruited for the Contra effort , identifies the man attempting to recruit him into the Philippine scheme as Oliver North ..."
2660,explosives,explosive,NOUN,,Plur,,,,,1,['explosives'],[14792],10,10,Plural Noun,i seem to recall the object was to smug ##gle explosives .,I seem to recall the object was to smuggle explosives .
2671,documents,document,NOUN,,Plur,,,,,1,['documents'],[5491],16,16,Plural Noun,they needed someone that could convince the jury they had been able to see all relevant documents in cia files on wilson .,They needed someone that could convince the jury they had been able to see all relevant documents in CIA files on Wilson .
2694,for,for,ADP,,,,,,,0,['for'],[2005],8,8,Causal-Final Case,wilson was claiming that he had been working for the cia when he sold the c - 4 to quad ##da ##ffi .,Wilson was claiming that he had been working for the CIA when he sold the C - 4 to Quaddaffi .
2736,records,record,NOUN,,Plur,,,,,1,['records'],[2636],29,29,Plural Noun,"third ranking cia officer , briggs signed a declaration on february 3rd , 1983 , that on november 8th , 1982 , he had authorized a search of cia records "" for any material that in any way per ##tain ##s to edwin p . wilson , or the various allegations concerning his activities after february 28th , 1971 , when he retired from the cia . ""","Third ranking CIA officer , Briggs signed a declaration on February 3rd , 1983 , that on November 8th , 1982 , he had authorized a search of CIA records "" for any material that in any way pertains to Edwin P. Wilson , or the various allegations concerning his activities after February 28th , 1971 , when he retired from the CIA . """
2801,states,state,VERB,,Sing,3,Pres,,,1,['states'],[2163],3,3,Third-Person Present Tense Verb,"the briggs declaration states that with one exception in 1972 , wilson did not work "" directly or indirectly "" for the cia since retiring .","The Briggs Declaration states that with one exception in 1972 , Wilson did not work "" directly or indirectly "" for the CIA since retiring ."
2827,Police,Police,NOUN,,Plur,,,,,0,['police'],[2610],0,0,Plural Noun,police said bernard confessed to detectives that he had sex with a young girl in november 2002 and admitted to knowing about sexual acts involving children and a dog that occurred at ho ##san ##na church .,Police said Bernard confessed to detectives that he had sex with a young girl in November 2002 and admitted to knowing about sexual acts involving children and a dog that occurred at Hosanna Church .
2862,counts,count,NOUN,,Plur,,,,,1,['counts'],[9294],23,23,Plural Noun,"on monday , louis lam ##onic ##a , 45 , the former pastor of ho ##san ##na church , was booked with two counts of aggravated rape and one count of crime against nature after he walked in to the livingston parish sheriff ' s office and said he could imp ##lica ##te others in a situation at the church that reportedly occurred two years ago .","On Monday , Louis Lamonica , 45 , the former pastor of Hosanna Church , was booked with two counts of aggravated rape and one count of crime against nature after he walked in to the Livingston Parish Sheriff 's Office and said he could implicate others in a situation at the church that reportedly occurred two years ago ."
2922,things,thing,NOUN,,Plur,,,,,1,['things'],[2477],16,16,Plural Noun,if i was rum ##my i ' d send po ##sa ##da to iraq to blow things up there .,If I was Rummy I 'd send Posada to Iraq to blow things up there .
2938,for,for,ADP,,,,,,,0,['for'],[2005],3,3,Causal-Final Case,i was searching for dog food info and found this post .,I was searching for dog food info and found this post .
2950,ones,one,NOUN,,Plur,,,,,1,['ones'],[3924],20,20,Plural Noun,"since the "" sea tigers "" of the lt ##te , better known as the tamil tigers , are the ones who rule the and ##aman sea : they carry the arms and drugs for their own use and also to deliver to rebels in ace ##h and all along the east coast of africa .","Since the "" Sea Tigers "" of the LTTE , better known as the Tamil Tigers , are the ones who rule the Andaman Sea : they carry the arms and drugs for their own use and also to deliver to rebels in Aceh and all along the east coast of Africa ."
3003,islands,island,NOUN,,Plur,,,,,1,['islands'],[3470],1,1,Plural Noun,"these islands sit aside the vital sea lanes of the strait of malacca , through which 300 tanker ##s and merchant ships pass daily , bringing in oil for the far east and southeast asia .","These islands sit aside the vital sea lanes of the Strait of Malacca , through which 300 tankers and merchant ships pass daily , bringing in oil for the Far East and Southeast Asia ."
3038,does,do,VERB,,Sing,3,Pres,Ind,,2,['does'],[2515],3,3,Third-Person Present Tense Verb,"unless new delhi does better in providing security to its own nationals against rebels , secession ##ists , drug runners and arms traffic ##kers , it will not generate much confidence in the capitals of surrounding nations .","Unless New Delhi does better in providing security to its own nationals against rebels , secessionists , drug runners and arms traffickers , it will not generate much confidence in the capitals of surrounding nations ."
3074,authorities,authority,NOUN,,Plur,,,,,2,['authorities'],[4614],14,14,Plural Noun,a sri lanka - born tamil with a norwegian passport was arrested by thai authorities in 2000 for his links with the lt ##te .,A Sri Lanka - born Tamil with a Norwegian passport was arrested by Thai authorities in 2000 for his links with the LTTE .
3098,writes,write,VERB,,Sing,3,Pres,,,1,['writes'],[7009],5,5,Third-Person Present Tense Verb,ram ##tan ##u mai ##tra writes for a number of international journals and is a regular contributor to the washington - based e ##ir and the new delhi - based indian defense review .,Ramtanu Maitra writes for a number of international journals and is a regular contributor to the Washington - based EIR and the New Delhi - based Indian Defense Review .
3128,writes,write,VERB,,Sing,3,Pres,,,1,['writes'],[7009],2,2,Third-Person Present Tense Verb,"he also writes for aa ##kr ##osh , india ' s defense - tied quarterly journal .","He also writes for Aakrosh , India 's defense - tied quarterly journal ."
