,Word,Lemma,POS,Case,Number,Person,Tense,Mood,Voice,Form-Lemma Difference,Subtokens,Subtoken IDs,Subtoken Start Index,Subtoken End Index,Target Class,BERT Subtokenized Sentence,Sentence
1280,has,have,VERB,,Sing,3,Pres,Ind,,-1,['has'],[2038],8,8,Third-Person Present Tense Verb,"( ku ##t is in southeastern iraq and has an overwhelmingly shi ##ite population , who are on the lookout for ba ##athi ##st sa ##bot ##eurs and willingly turn them in .","( Kut is in southeastern Iraq and has an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in ."
1415,bombings,bombing,NOUN,,Plur,,,,,1,['bombings'],[20109],10,10,Plural Noun,this willingness is the main difference in the number of bombings in the south as opposed to the center - north of the country . ),This willingness is the main difference in the number of bombings in the south as opposed to the center - north of the country . )
1519,leaders,leader,NOUN,,Plur,,,,,1,['leaders'],[4177],5,5,Plural Noun,two other du ##lai ##m leaders have been killed in the past week and a half .,Two other Dulaim leaders have been killed in the past week and a half .
1564,soldiers,soldier,NOUN,,Plur,,,,,1,['soldiers'],[3548],16,16,Plural Noun,"guerrillas near ha ##wi ##jah launched an attack that left 6 dead , including 4 iraqi soldiers .","Guerrillas near Hawijah launched an attack that left 6 dead , including 4 Iraqi soldiers ."
1612,members,member,NOUN,,Plur,,,,,1,['members'],[2372],2,2,Plural Noun,"two hundred members of the bat ##aw ##i clan of the du ##lai ##m demonstrated in baghdad on friday , protesting the killing of their clan elder , sha ##ikh ka ##dhi ##m sar ##hid and 4 of his sons , by gunmen wearing iraqi army uniforms .","Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad on Friday , protesting the killing of their clan elder , Shaikh Kadhim Sarhid and 4 of his sons , by gunmen wearing Iraqi army uniforms ."
1772,observers,observer,NOUN,,Plur,,,,,1,['observers'],[14009],12,12,Plural Noun,"( this is a largely sunni arab clan , and some sunni observers have accused shi ##ite elements in the government of being behind the assassination ; it is more likely the work of sunni arab guerrillas punish ##ing the bat ##aw ##i leaders for cooper ##ating with the dec . 15 elections . )","( This is a largely Sunni Arab clan , and some Sunni observers have accused Shiite elements in the government of being behind the assassination ; it is more likely the work of Sunni Arab guerrillas punishing the Batawi leaders for cooperating with the Dec. 15 elections . )"
2262,individuals,individual,NOUN,,Plur,,,,,1,['individuals'],[3633],25,25,Plural Noun,al - za ##man : the iraqi high electoral commission on friday denied a request of the de ##ba ##athi ##fication commission to exclude 51 individuals from running on party lists in the dec . 15 elections on grounds of having been sufficiently involved in ba ##ath activities to warrant their being excluded from civil office .,Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec. 15 elections on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office .
2823,grounds,ground,NOUN,,Plur,,,,,1,['grounds'],[5286],7,7,Plural Noun,the commission said it had no legal grounds for such an exclusion .,The Commission said it had no legal grounds for such an exclusion .
2862,into,into,ADP,,,,,,,0,['into'],[2046],28,28,Translative Case,"the de ##ba ##athi ##fication commission had been pushed by ahmad cha ##lab ##i and his iraqi national congress very hard , and had pushed many sunni arabs into the arms of the guerrillas .","The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard , and had pushed many Sunni Arabs into the arms of the guerrillas ."
3012,ties,tie,NOUN,,Plur,,,,,1,['ties'],[7208],15,15,Plural Noun,"cha ##lab ##i has been increasingly marginal ##ized within iraq , however , despite his ties of client ##ela ##ge with washington and tehran .","Chalabi has been increasingly marginalized within Iraq , however , despite his ties of clientelage with Washington and Tehran ."
3072,seats,seat,NOUN,,Plur,,,,,1,['seats'],[4272],23,23,Plural Noun,"he is no longer in the dominant shi ##ite list , the united iraqi alliance , and wo n ' t have many seats in the new parliament .","He is no longer in the dominant Shiite list , the United Iraqi Alliance , and wo n't have many seats in the new parliament ."
3124,officers,officer,NOUN,,Plur,,,,,1,['officers'],[3738],5,5,Plural Noun,"some 2 , 000 junior officers of the old ba ##ath army have been recalled to duty in recent months , something cha ##lab ##i would have blocked if he could have .","Some 2,000 junior officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have ."
3292,people,people,NOUN,,Plur,,,,,0,['people'],[2111],8,8,Plural Noun,now the electoral commission is refusing to punish people for mere past ba ##ath party membership .,Now the Electoral Commission is refusing to punish people for mere past Baath Party membership .
3340,rights,right,NOUN,,Plur,,,,,1,['rights'],[2916],14,14,Plural Noun,"if he or she did not , then they should have all the same rights as other iraqi ##s .","If he or she did not , then they should have all the same rights as other Iraqis ."
3397,continues,continue,VERB,,Sing,3,Pres,,,1,['continues'],[4247],5,5,Third-Person Present Tense Verb,"in baghdad the fighting still continues in several areas , mostly in sad ##r city and ad ##ham ##iya .","In Baghdad the fighting still continues in several areas , mostly in Sadr city and Adhamiya ."
3431,Baghdadis,baghdadi,NOUN,,Plur,,,,,1,"['baghdad', '##is']","[13952, 2483]",0,1,Plural Noun,"baghdad ##is do n ' t venture much out of their neighbourhoods any more , you never know where you might get stuck .","Baghdadis do n't venture much out of their neighbourhoods any more , you never know where you might get stuck ."
3536,blocks,block,NOUN,,Plur,,,,,1,['blocks'],[5991],5,5,Plural Noun,"they are setting the road blocks at the exact same positions they were during the war last year , which indicates they are the same people .","They are setting the road blocks at the exact same positions they were during the war last year , which indicates they are the same people ."
3725,is,be,VERB,,Sing,3,Pres,Ind,,0,['is'],[2003],2,2,Third-Person Present Tense Verb,"and there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .","And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land ."
3949,civilians,civilian,NOUN,,Plur,,,,,1,['civilians'],[9272],25,25,Plural Noun,"even the ip and ic ##dc have abandoned the neighbourhood , and those are trained and armed , so do n ' t expect scared civilians to do anything except to hide inside and pray a helicopter or a tank does n ' t bomb them , and also how are american soldiers going to distinguish the brave and valiant civilians from the fed ##ay ##een ?","Even the IP and ICDC have abandoned the neighbourhood , and those are trained and armed , so do n't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank does n't bomb them , and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen ?"
4729,is,be,VERB,,Sing,3,Pres,Ind,,0,['is'],[2003],8,8,Third-Person Present Tense Verb,"everyone is app ##re ##hen ##sive , there is some talk that april 9th and 10th are going to be bloody days .","Everyone is apprehensive , there is some talk that April 9th and 10th are going to be bloody days ."
4849,people,people,NOUN,,Plur,,,,,0,['people'],[2111],1,1,Plural Noun,"most people have n ' t gone to work the last few days , although it seems that the rest of baghdad is ' normal ' ( if you can define what normal is ) .","Most people have n't gone to work the last few days , although it seems that the rest of Baghdad is ' normal ' ( if you can define what normal is ) ."
5121,rumours,rumour,NOUN,,Plur,,,,,1,['rumours'],[19200],2,2,Plural Noun,"there are rumours about preparations by sl ##um dwellers for another looting sp ##ree against banks , governmental and public property similar to the one that took place last april , and i have already overheard young ##sters in my neighbourhood joking about it and saying things like "" this time we will be the first to lo ##ot , we did n ' t get anything the last time "" .","There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" ."
5913,Mosques,mosque,NOUN,,Plur,,,,,1,['mosques'],[21922],0,0,Plural Noun,"mosques are calling for dona ##ting blood , food , and medicine for fall ##uj ##ah , and several convoys have already headed out for fall ##uj ##ah , most of them returned later though .","Mosques are calling for donating blood , food , and medicine for Fallujah , and several convoys have already headed out for Fallujah , most of them returned later though ."
6099,irritates,irritate,VERB,,Sing,3,Pres,,,1,"['ir', '##rita', '##tes']","[20868, 17728, 4570]",1,3,Third-Person Present Tense Verb,"what ir ##rita ##tes me is this sudden false ' solidarity ' between sunni and shi ' it ##e cleric ##s , we all know that they would be glad to get at each other s throat ##s when they have the chance , and shia cleric ##s were describing fall ##uj ##an insurgents as ' ba ' at ##his ##ts ' , ' saddam ##ites ' , ' wah ##hab ##is ' , and ' terrorists ' just a few days ago .","What irritates me is this sudden false ' solidarity ' between Sunni and Shi'ite clerics , we all know that they would be glad to get at each other s throats when they have the chance , and Shia clerics were describing Fallujan insurgents as ' Ba'athists ' , ' Saddamites ' , ' Wahhabis ' , and ' terrorists ' just a few days ago ."
6769,kinds,kind,NOUN,,Plur,,,,,1,['kinds'],[7957],21,21,Plural Noun,"they have sent over their top reporter ahmed mans ##our to the town , and he is sp ##out ##ing all kinds of propaganda hourly reminding me of al - sa ##hh ##af .","They have sent over their top reporter Ahmed Mansour to the town , and he is spouting all kinds of propaganda hourly reminding me of Al - Sahhaf ."
6914,ambulances,ambulance,NOUN,,Plur,,,,,1,"['ambulance', '##s']","[10771, 2015]",5,6,Plural Noun,""" they are target ##ting ambulance ##s "" , "" american sniper ##s are shooting children and pregnant women "" , and "" they are using cluster bombs against civilians "" is all you get to hear from him .",""" They are targetting ambulances "" , "" American snipers are shooting children and pregnant women "" , and "" They are using cluster bombs against civilians "" is all you get to hear from him ."
7247,militants,militant,NOUN,,Plur,,,,,1,['militants'],[17671],17,17,Plural Noun,"he did once make an un ##for ##gi ##vable error when he mentioned that fall ##uj ##an militants were shooting at the marines from the roofs of mosques and houses in hay al - go ##lan , but of course that is okay for al - ja ##zee ##ra .","He did once make an unforgivable error when he mentioned that Fallujan militants were shooting at the Marines from the roofs of mosques and houses in Hay Al - Golan , but of course that is okay for Al - Jazeera ."
7541,casualties,casualty,NOUN,,Plur,,,,,2,['casualties'],[8664],32,32,Plural Noun,someone who called himself abu ha ##fs from the ibn al - k ##hat ##ta ##b brigades ( another new group ) was on al - ja ##zee ##ra describing the enormous casualties among the marines and he swear ##ed that american soldiers were mu ##tila ##ting the bodies of dead insurgents .,Someone who called himself Abu Hafs from the Ibn Al - Khattab Brigades ( another new group ) was on Al - Jazeera describing the enormous casualties among the Marines and he sweared that American soldiers were mutilating the bodies of dead insurgents .
7805,bodies,body,NOUN,,Plur,,,,,2,['bodies'],[4230],46,46,Plural Noun,"az ##zam ##an newspaper mentioned an announcement signed by abdul aziz bin mu ##q ##rin , an al - qaeda operative in saudi arabia on an islamic website ' the voice of jihad ' , in which he stated that "" although mu ##tila ##ting dead bodies is not originally permitted in islam , but in this case it is allowed if muslims use it against in ##fide ##ls to deter them from committing criminal actions "" .","Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" ."
8785,for,for,SCONJ,,,,,,,0,['for'],[2005],35,35,Causal-Final Case,"he added that "" america does not understand anything except the language of force and retaliation , they were kicked out of somalia in humiliation after that soldier was dragged in mo ##ga ##dis ##hu for the whole world to see "" , and that "" the day will come when the dead bodies of americans and jews would be dragged , def ##iled , and stepped on in the arabian peninsula together with their agents and supporters "" .","He added that "" America does not understand anything except the language of force and retaliation , they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see "" , and that "" the day will come when the dead bodies of Americans and Jews would be dragged , defiled , and stepped on in the Arabian peninsula together with their agents and supporters "" ."
9925,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,elena ' s motorcycle tour through the region around cher ##nob ##yl has revived interest in one of the most serious nuclear disasters in history .,Elena 's motorcycle tour through the region around Chernobyl has revived interest in one of the most serious nuclear disasters in history .
10017,versions,version,NOUN,,Plur,,,,,1,['versions'],[4617],16,16,Plural Noun,"we all know what happened , but even to this day , there are many different versions and opinions on how it happened and what effect cher ##nob ##yl will have on the health of people affected by the fallout .","We all know what happened , but even to this day , there are many different versions and opinions on how it happened and what effect Chernobyl will have on the health of people affected by the fallout ."
10329,effects,effect,NOUN,,Plur,,,,,1,['effects'],[3896],26,26,Plural Noun,there was a soothing authoritative un ##sc ##ear ( united nations scientific committee on the effects of atomic radiation ) report in 2000 on the health effects of cher ##nob ##yl confirming that there was no scientific evidence of any significant radiation - related health effects to most people exposed .,There was a soothing authoritative UNSCEAR ( United Nations Scientific Committee on the Effects of Atomic Radiation ) report in 2000 on the health effects of Chernobyl confirming that there was no scientific evidence of any significant radiation - related health effects to most people exposed .
10658,myths,myth,NOUN,,Plur,,,,,1,['myths'],[17218],5,5,Plural Noun,"one of the most widespread myths of recent times is that the cher ##nob ##yl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions , and that public health has been severely affected by exposure to radiation .","One of the most widespread myths of recent times is that the Chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions , and that public health has been severely affected by exposure to radiation ."
11036,people,people,NOUN,,Plur,,,,,0,['people'],[2111],1,1,Plural Noun,"many people still believe that to be true , even though the ministry of russian federation on civil defence , emergencies and elimination of con ##se ##gue ##nce ##s of natural disasters ( em ##er ##com of russia ) reported this in 1996 :","Many people still believe that to be true , even though the Ministry of Russian Federation on Civil Defence , Emergencies and Elimination of Conseguences of Natural Disasters ( EMERCOM of Russia ) reported this in 1996 :"
11188,regions,region,NOUN,,Plur,,,,,1,['regions'],[4655],31,31,Plural Noun,"in the last decade , there has been a real and significant increase in childhood and , to a certain extent , adult car ##cino ##ma of the thyroid in contaminated regions of the former soviet union ( wi ##9 ##40 ) which should be attributed to the cher ##nob ##yl accident until proven otherwise .","In the last decade , there has been a real and significant increase in childhood and , to a certain extent , adult carcinoma of the thyroid in contaminated regions of the former Soviet Union ( Wi940 ) which should be attributed to the Chernobyl accident until proven otherwise ."
11488,IAEA,IAEA,NOUN,,Plur,,,,,0,"['ia', '##ea']","[24264, 5243]",2,3,Plural Noun,the prestigious ia ##ea ( international atomic energy agency ) published an early report on cher ##nob ##yl which was based on information from russian sources and stated that there was no significant health effects .,The prestigious IAEA ( International Atomic Energy Agency ) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects .
11719,Years,year,NOUN,,Plur,,,,,1,['years'],[2086],11,11,Plural Noun,"however , in april 2001 , the ia ##ea published fifteen years after the cher ##nob ##yl accident - lessons learned . which contra ##dict the earlier reports .","However , in April 2001 , the IAEA published Fifteen Years after the Chernobyl Accident - Lessons learned . which contradict the earlier reports ."
11819,excerpts,excerpt,NOUN,,Plur,,,,,1,['excerpts'],[24962],3,3,Plural Noun,here are some excerpts :,Here are some excerpts :
11824,cancers,cancer,NOUN,,Plur,,,,,1,['cancers'],[25409],8,8,Plural Noun,"the dramatic increase in radiation - induced thyroid cancers in children and adolescents in belarus , russia , and ukraine , which have been observed since 1991 , continues to this day .","The dramatic increase in radiation - induced thyroid cancers in children and adolescents in Belarus , Russia , and Ukraine , which have been observed since 1991 , continues to this day ."
11989,women,woman,NOUN,,Plur,,,,,0,['women'],[2308],13,13,Plural Noun,". . . a drop in the birth rate , a deterioration in women ' s reproductive health , an increase in complications during pregnancy and birth , and a deterioration in neon ##atal health . . . .","... a drop in the birth rate , a deterioration in women 's reproductive health , an increase in complications during pregnancy and birth , and a deterioration in neonatal health ...."
12181,for,for,ADP,,,,,,,0,['for'],[2005],13,13,Causal-Final Case,"as a parent , i can well imagine how painful it must be for those families whose children are su ##cc ##umb ##ing to radiation poisoning .","As a parent , I can well imagine how painful it must be for those families whose children are succumbing to radiation poisoning ."
12301,reports,report,NOUN,,Plur,,,,,1,['reports'],[4311],17,17,Plural Noun,being well - informed will give you certainty and that is desirable in a world of conflicting reports .,Being well - informed will give you certainty and that is desirable in a world of conflicting reports .
12396,references,reference,NOUN,,Plur,,,,,1,['references'],[7604],5,5,Plural Noun,there are a wealth of references on cher ##nob ##yl .,There are a wealth of references on Chernobyl .
12414,links,link,NOUN,,Plur,,,,,1,['links'],[6971],5,5,Plural Noun,read some of the following links and draw your own conclusions .,Read some of the following links and draw your own conclusions .
12450,links,link,NOUN,,Plur,,,,,1,['links'],[6971],1,1,Plural Noun,these links present the many viewpoint ##s that existed and still exist about the disaster called cher ##nob ##yl :,These links present the many viewpoints that existed and still exist about the disaster called Chernobyl :
12518,conclusions,conclusion,NOUN,,Plur,,,,,1,['conclusions'],[15306],7,7,Plural Noun,i would be interested in hearing what conclusions you reached and what you found that was most convincing .,I would be interested in hearing what conclusions you reached and what you found that was most convincing .
12670,machines,machine,NOUN,,Plur,,,,,1,['machines'],[6681],6,6,Plural Noun,remember the old shoe si ##zing machines that was a form of radiation x ##ray ?,Remember the old shoe sizing machines that was a form of radiation xray ?
12726,folks,folk,NOUN,,Plur,,,,,1,['folks'],[12455],22,22,Plural Noun,do n ' t have to mention what radiation has done and is still doing to hi ##rso ##hima & naga ##ski folks - - there can be no doubts about the effects of radiation in cher ##nob ##yl . . . . . . .,Do n't have to mention what radiation has done and is still doing to Hirsohima & Nagaski folks -- there can be no doubts about the effects of radiation in Chernobyl .......
13110,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",5,6,Genitive Case,the cher ##nob ##yl children ' s project ( http : / / www . adi ##cc ##p . org / home / default . as ##p ) offers several ways to help the children of that region .,The Chernobyl Children 's Project ( http://www.adiccp.org/home/default.asp ) offers several ways to help the children of that region .
13167,for,for,ADP,,,,,,,0,['for'],[2005],20,20,Causal-Final Case,"one of them is the rest and rec ##up ##eration program , wherein a child can come to the us for a few weeks in the summer .","One of them is the Rest and Recuperation Program , wherein a child can come to the US for a few weeks in the summer ."
13219,children,child,NOUN,,Plur,,,,,3,['children'],[2336],13,13,Plural Noun,s . and i have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .,S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .
13349,makes,make,VERB,,Sing,3,Pres,,,1,['makes'],[3084],14,14,Third-Person Present Tense Verb,"the urge to protect and gather them all in is almost overwhelming , and makes me more grateful for the blessings i have .","The urge to protect and gather them all in is almost overwhelming , and makes me more grateful for the blessings I have ."
13517,speeches,speech,NOUN,,Plur,,,,,2,['speeches'],[13867],12,12,Plural Noun,what do the new al - qaeda video ##ta ##pe and audio speeches of bin laden and a ##yman al - za ##wa ##hir ##i tell us about the hopes of the remaining top leadership of the organization ?,What do the new al - Qaeda videotape and audio speeches of Bin Laden and Ayman al - Zawahiri tell us about the hopes of the remaining top leadership of the organization ?
13682,commanders,commander,NOUN,,Plur,,,,,1,['commanders'],[11437],23,23,Plural Noun,"because the us and pakistan have managed to capture or kill about 2 / 3 ##s of the top 25 al - qaeda commanders , the middle managers are not in close contact with al - za ##wa ##hir ##i and bin laden .","Because the US and Pakistan have managed to capture or kill about 2 / 3s of the top 25 al - Qaeda commanders , the middle managers are not in close contact with al - Zawahiri and Bin Laden ."
13922,priorities,priority,NOUN,,Plur,,,,,2,['priorities'],[18402],7,7,Plural Noun,the tape was a way to signal priorities .,The tape was a way to signal priorities .
13949,Musharraf,Musharraf,NOUN,,Plur,,,,,0,"['mu', '##sha', '##rra', '##f']","[14163, 7377, 11335, 2546]",0,3,Plural Noun,mu ##sha ##rra ##f has been trying to purge his officer corps of the substantial number of al - qaeda sy ##mp ##athi ##zers .,Musharraf has been trying to purge his officer corps of the substantial number of al - Qaeda sympathizers .
14025,figures,figure,NOUN,,Plur,,,,,1,['figures'],[4481],6,6,Plural Noun,"his military intelligence has captured major figures like abu zu ##bay ##da and khalid shay ##kh muhammad , as well as nearly 500 other al - qaeda operatives , over 400 of whom the pakistani ##s have turned over to the us .","His military intelligence has captured major figures like Abu Zubayda and Khalid Shaykh Muhammad , as well as nearly 500 other al - Qaeda operatives , over 400 of whom the Pakistanis have turned over to the US ."
14181,Musharraf,Musharraf,NOUN,,Plur,,,,,0,"['mu', '##sha', '##rra', '##f']","[14163, 7377, 11335, 2546]",0,3,Plural Noun,"mu ##sha ##rra ##f held elections in october of 2002 , in which center - right parties did well , but in which nearly 20 percent of parliament seats went to the fundamental ##ist religious party coalition , mma .","Musharraf held elections in October of 2002 , in which center - right parties did well , but in which nearly 20 percent of parliament seats went to the fundamentalist religious party coalition , MMA ."
14325,officers,officer,NOUN,,Plur,,,,,1,['officers'],[3738],22,22,Plural Noun,"if al - qaeda can kill mu ##sha ##rra ##f or ins ##ti ##gate a military coup against him by islamist junior officers , they can hope to cat ##ap ##ult the mma to power as political allies and hosts .","If al - Qaeda can kill Musharraf or instigate a military coup against him by Islamist junior officers , they can hope to catapult the MMA to power as political allies and hosts ."
14461,for,for,ADP,,,,,,,0,['for'],[2005],9,9,Causal-Final Case,"they would thereby gain control of a major base for terrorist operations , which is also a nuclear power .","They would thereby gain control of a major base for terrorist operations , which is also a nuclear power ."
14541,schemes,scheme,NOUN,,Plur,,,,,1,['schemes'],[11683],14,14,Plural Noun,"all this is highly unlikely , as with most al - qaeda crack ##pot schemes .","All this is highly unlikely , as with most al - Qaeda crackpot schemes ."
14571,restrictions,restriction,NOUN,,Plur,,,,,1,['restrictions'],[9259],4,4,Plural Noun,"on the other , restrictions should be lifted on the mainstream muslim league - n and pakistan people ' s party , who can defeat the mma in fair elections if not hog ##tie ##d by the secret police .","On the other , restrictions should be lifted on the mainstream Muslim League - N and Pakistan People 's Party , who can defeat the MMA in fair elections if not hogtied by the secret police ."
14793,elements,element,NOUN,,Plur,,,,,1,['elements'],[3787],8,8,Plural Noun,2 ) target israel and encourage the worst elements of the palestinians by playing on the iron fist policies of the sharon government .,2 ) Target Israel and encourage the worst elements of the Palestinians by playing on the iron fist policies of the Sharon government .
14865,bombings,bombing,NOUN,,Plur,,,,,1,['bombings'],[20109],11,11,Plural Noun,this terrorist organization can now only pull off far less sophisticated bombings and attacks .,This terrorist organization can now only pull off far less sophisticated bombings and attacks .
14910,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",2,3,Genitive Case,"but sharon ' s iron fist is simply not working as a means of establishing general peace , and the bush administration will have to finally apply effective pressure on sharon to stop his outrage ##s in and colonization of the west bank and gaza .","But Sharon 's iron fist is simply not working as a means of establishing general peace , and the Bush administration will have to finally apply effective pressure on Sharon to stop his outrages in and colonization of the West Bank and Gaza ."
15306,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,"sharon ' s hard line has worked in tandem with hamas ' s terrorism to rat ##chet up tensions further and further , which spill over into the muslim world and serve as a recruiting tool for al - qaeda in its search for agents willing to hit the united states .","Sharon 's hard line has worked in tandem with Hamas 's terrorism to ratchet up tensions further and further , which spill over into the Muslim world and serve as a recruiting tool for al - Qaeda in its search for agents willing to hit the United States ."
15698,owes,owe,VERB,,Sing,3,Pres,,,1,['owes'],[24381],1,1,Third-Person Present Tense Verb,"israel owes the united states at least this much , in this crisis , to cease mil ##ita ##rily unnecessary pro ##vocation ##s and establish genuine peace .","Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace ."
15818,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",11,12,Genitive Case,"3 ) make iraq another afghanistan , using the republican right ' s own tactics against them .","3 ) Make Iraq another Afghanistan , using the Republican Right 's own tactics against them ."
15852,for,for,ADP,,,,,,,0,['for'],[2005],7,7,Causal-Final Case,"response : iraq is actually hostile territory for al - qaeda , and without iraqi sy ##mp ##athi ##zers it can not succeed there .","Response : Iraq is actually hostile territory for al - Qaeda , and without Iraqi sympathizers it can not succeed there ."
15918,lives,life,NOUN,,Plur,,,,,1,['lives'],[3268],10,10,Plural Noun,"by moving quickly to iraqi sovereignty and improvement of iraqi lives , the us may be able to get iraqi ##s on its side , so that they turn in the foreigners .","By moving quickly to Iraqi sovereignty and improvement of Iraqi lives , the US may be able to get Iraqis on its side , so that they turn in the foreigners ."
16142,for,for,ADP,,,,,,,0,['for'],[2005],13,13,Causal-Final Case,the americans have to put away their free - market fe ##tish ##ism for a while and find ways of creating jobs and pumping money into iraqi households .,The Americans have to put away their free - market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households .
16304,soldiers,soldier,NOUN,,Plur,,,,,1,['soldiers'],[3548],7,7,Plural Noun,"of course , the sooner the us soldiers can be withdrawn in favor of less - provocative local or international forces , the better .","Of course , the sooner the US soldiers can be withdrawn in favor of less - provocative local or international forces , the better ."
